Time (seconds),Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
135,2.25,16,9.931927,33.12934243
136,2.266666667,16,9.934011,33.13629391
137,2.283333333,16,9.936152,33.14343552
138,2.3,16,9.937545,33.14808206
139,2.316666667,16,9.93901,33.15296878
140,2.333333333,16,9.940662,33.15847926
141,2.35,16,9.942373,33.16418654
142,2.366666667,16,9.944336,33.1707344
143,2.383333333,16,9.946463,33.17782931
144,2.4,16,9.948721,33.18536119
145,2.416666667,16,9.951213,33.1936736
146,2.433333333,16,9.953774,33.20221618
147,2.45,16,9.956551,33.21147926
148,2.466666667,16,9.959296,33.22063559
149,2.483333333,16,9.962393,33.23096607
150,2.5,16,9.965599,33.24166014
151,2.516666667,16,9.96898,33.25293794
152,2.533333333,16,9.972326,33.26409899
153,2.55,16,9.975679,33.2752834
154,2.566666667,16,9.978979,33.28629101
155,2.583333333,16,9.982618,33.29842941
156,2.6,16,9.986392,33.31101812
157,2.616666667,16,9.99044,33.32452079
158,2.633333333,16,10.00145,33.3612462
159,2.65,16,10.00586,33.37595638
160,2.666666667,16,10.01015,33.39026628
161,2.683333333,16,10.08595,33.64310786
162,2.7,16,10.09149,33.66158731
163,2.716666667,16,10.0971,33.68030026
164,2.733333333,16,10.10293,33.69974704
165,2.75,16,10.1092,33.72066151
166,2.766666667,16,10.1149,33.73967467
167,2.783333333,16,10.12114,33.76048906
168,2.8,16,10.12762,33.78210402
169,2.816666667,16,10.13416,33.80391911
170,2.833333333,16,10.14079,33.82603441
171,2.85,17,10.46004,34.89093778
172,2.866666667,17,10.46046,34.89233875
173,2.883333333,17,10.46107,34.89437349
174,2.9,17,10.46186,34.89700865
175,2.916666667,17,10.46283,34.90024422
176,2.933333333,14,10.4531,34.86778844
177,2.95,14,10.44206,34.83096296
178,2.966666667,14,10.43111,34.79443769
179,2.983333333,14,10.42091,34.76041415
180,3,14,10.41021,34.72472279
181,3.016666667,14,10.40024,34.69146645
182,3.033333333,14,10.3899,34.65697593
183,3.05,14,10.38038,34.62522063
184,3.066666667,14,10.37058,34.59253134
185,3.083333333,14,10.36089,34.56020898
186,3.1,14,10.3518,34.52988801
187,3.116666667,14,10.34285,34.50003402
188,3.133333333,14,10.33375,34.46967969
189,3.15,14,10.32526,34.4413601
190,3.166666667,14,10.31696,34.41367428
191,3.183333333,14,10.30884,34.38658887
192,3.2,14,10.30081,34.35980367
193,3.216666667,14,10.29271,34.33278498
194,3.233333333,14,10.28513,34.30750082
195,3.25,14,10.2779,34.28338414
196,3.266666667,14,10.27027,34.2579332
197,3.283333333,14,10.26325,34.234517
198,3.3,14,10.25642,34.21173457
199,3.316666667,14,10.24946,34.18851851
200,3.333333333,14,10.24294,34.16677013
201,3.35,14,10.23626,34.14448805
202,3.366666667,14,10.23019,34.12424071
203,3.383333333,14,10.22383,34.10302603
204,3.4,14,10.21704,34.08037703
205,3.416666667,16,9.932465,33.13113701
206,3.433333333,16,9.931956,33.12943917
207,3.45,16,9.931578,33.12817829
208,3.466666667,16,9.931355,33.12743445
209,3.483333333,16,9.931275,33.1271676
210,3.5,16,9.931351,33.1274211
211,3.516666667,16,9.931572,33.12815828
212,3.533333333,16,9.931932,33.12935911
213,3.55,16,9.93245,33.13108697
214,3.566666667,16,9.933094,33.13323513
215,3.583333333,16,9.933925,33.13600704
216,3.6,16,9.934901,33.13926263
217,3.616666667,16,9.936002,33.14293517
218,3.633333333,16,9.936932,33.14603732
219,3.65,16,9.938006,33.14961979
220,3.666666667,16,9.939214,33.15364925
221,3.683333333,16,9.940595,33.15825577
222,3.7,16,9.942078,33.16320252
223,3.716666667,16,9.943816,33.16899987
224,3.733333333,16,9.945505,33.17463377
225,3.75,16,9.946452,33.17779262
226,3.766666667,16,9.947559,33.18148517
227,3.783333333,16,9.948812,33.18566473
228,3.8,16,9.9502,33.1902946
229,3.816666667,16,9.951824,33.19571168
230,3.833333333,16,9.953556,33.20148901
231,3.85,16,9.955446,33.20779337
232,3.866666667,16,9.957518,33.21470482
233,3.883333333,16,9.959771,33.22222002
234,3.9,16,9.962139,33.23011882
235,3.916666667,16,9.964255,33.23717703
236,3.933333333,16,9.966618,33.24505915
237,3.95,16,9.969138,33.25346497
238,3.966666667,16,9.971836,33.26246453
239,3.983333333,16,9.974644,33.27183101
240,4,16,9.977616,33.28174453
241,4.016666667,16,9.980769,33.29226181
242,4.033333333,16,9.984092,33.30334614
243,4.05,16,9.987314,33.31409358
244,4.066666667,16,9.990855,33.32590508
245,4.083333333,16,9.994647,33.33855383
246,4.1,16,9.998522,33.35147944
247,4.116666667,16,10.00251,33.36478198
248,4.133333333,16,10.0136,33.40177424
249,4.15,16,10.01814,33.41691805
250,4.166666667,16,10.0228,33.43246213
251,4.183333333,16,10.10049,33.69160808
252,4.2,16,10.10603,33.71008753
253,4.216666667,16,10.11168,33.7289339
254,4.233333333,16,10.11755,33.74851411
255,4.25,16,10.12348,33.76829446
256,4.266666667,16,10.12931,33.78774125
257,4.283333333,16,10.13545,33.80822209
258,4.3,16,10.14223,33.83083773
259,4.316666667,16,10.14837,33.85131857
260,4.333333333,16,10.15521,33.87413435
261,4.35,16,10.16213,33.89721699
262,4.366666667,17,10.47635,34.94534209
263,4.383333333,14,10.47071,34.92652907
264,4.4,14,10.45935,34.88863619
265,4.416666667,14,10.44814,34.85124366
266,4.433333333,14,10.43716,34.81461832
267,4.45,14,10.42574,34.7765253
268,4.466666667,14,10.41519,34.74133429
269,4.483333333,14,10.40499,34.70731075
270,4.5,14,10.39459,34.67262008
271,4.516666667,14,10.38401,34.637329
272,4.533333333,14,10.37424,34.60473979
273,4.55,14,10.3646,34.57258421
274,4.566666667,14,10.35476,34.5397615
275,4.583333333,14,10.34555,34.50904025
276,4.6,14,10.3367,34.47951983
277,4.616666667,14,10.32725,34.44799802
278,4.633333333,14,10.31869,34.41944493
279,4.65,14,10.3104,34.39179247
280,4.666666667,14,10.30164,34.36257226
281,4.683333333,14,10.29366,34.33595384
282,4.7,14,10.28552,34.30880172
283,4.716666667,14,10.27796,34.28358428
284,4.733333333,14,10.27013,34.25746621
285,4.75,14,10.26286,34.2332161
286,4.766666667,14,10.25549,34.20863243
287,4.783333333,14,10.24845,34.18514951
288,4.8,14,10.24104,34.16043241
289,4.816666667,14,10.23419,34.13758327
290,4.833333333,14,10.22777,34.11616846
291,4.85,14,10.22024,34.09105108
292,4.866666667,14,10.21326,34.06776831
293,4.883333333,14,10.20605,34.04371834
294,4.9,14,10.19922,34.02093591
295,4.916666667,14,10.19249,33.99848705
296,4.933333333,14,10.18606,33.97703888
297,4.95,14,10.17987,33.95639126
298,4.966666667,14,10.17413,33.93724468
299,4.983333333,16,9.944957,33.17280583
300,5,16,9.944963,33.17282585
301,5.016666667,16,9.944956,33.1728025
302,5.033333333,16,9.945094,33.17326282
303,5.05,16,9.945379,33.17421348
304,5.066666667,16,9.945816,33.17567115
305,5.083333333,16,9.946399,33.17761583
306,5.1,16,9.947123,33.18003083
307,5.116666667,16,9.94799,33.18292283
308,5.133333333,16,9.949021,33.18636188
309,5.15,16,9.950166,33.19018119
310,5.166666667,16,9.95147,33.19453086
311,5.183333333,16,9.952645,33.19845024
312,5.2,16,9.953248,33.20046163
313,5.216666667,16,9.953962,33.20284328
314,5.233333333,16,9.954868,33.20586537
315,5.25,16,9.955909,33.20933777
316,5.266666667,16,9.957165,33.21352734
317,5.283333333,16,9.958469,33.21787702
318,5.3,16,9.960087,33.22327408
319,5.316666667,16,9.961683,33.22859777
320,5.333333333,16,9.963444,33.23447183
321,5.35,16,9.965163,33.2402058
322,5.366666667,16,9.966956,33.2461866
323,5.383333333,16,9.968921,33.25274113
324,5.4,16,9.971072,33.2599161
325,5.416666667,16,9.973357,33.26753804
326,5.433333333,16,9.975782,33.27562697
327,5.45,16,9.978518,33.28475328
328,5.466666667,16,9.981237,33.29382289
329,5.483333333,16,9.984127,33.30346289
330,5.5,16,9.987165,33.31359657
