Time,Time (Minutes),Distance (Hops),Distance (1000km),Time of Signal (milliseconds)
134,2.233333333,11,6.666665,22.23760079
135,2.25,11,6.665955,22.23523248
136,2.266666667,11,6.665349,22.23321108
137,2.283333333,11,6.664799,22.23137648
138,2.3,11,6.664418,22.2301056
139,2.316666667,11,6.664109,22.22907489
140,2.333333333,9,6.897268,23.0068096
141,2.35,9,6.902525,23.02434506
142,2.366666667,9,6.90854,23.04440894
143,2.383333333,9,6.914387,23.06391244
144,2.4,9,6.920838,23.08543065
145,2.416666667,9,6.926884,23.10559794
146,2.433333333,9,6.933167,23.12655577
147,2.45,9,6.940014,23.14939491
148,2.466666667,9,6.946556,23.17121667
149,2.483333333,9,6.95311,23.19307846
150,2.5,9,6.960096,23.21638125
151,2.516666667,9,6.967266,23.24029779
152,2.533333333,9,6.974656,23.26494818
153,2.55,9,6.981902,23.28911823
154,2.566666667,9,6.989478,23.31438905
155,2.583333333,9,6.997148,23.33997342
156,2.6,9,7.00465,23.36499739
157,2.616666667,9,7.012558,23.39137564
158,2.633333333,9,7.020742,23.41867453
159,2.65,9,7.028475,23.44446904
160,2.666666667,9,7.03692,23.47263853
161,2.683333333,9,7.044779,23.49885333
162,2.7,9,7.052237,23.52373054
163,2.716666667,9,7.060101,23.54996202
164,2.733333333,9,7.067782,23.57558308
165,2.75,10,7.09283,23.65913421
166,2.766666667,10,7.095009,23.66640258
167,2.783333333,10,7.097202,23.67371764
168,2.8,10,7.099528,23.68147634
169,2.816666667,10,7.102107,23.69007895
170,2.833333333,10,7.105041,23.69986573
171,2.85,10,7.107989,23.70969919
172,2.866666667,10,7.111113,23.72011974
173,2.883333333,10,7.114591,23.7317211
174,2.9,12,7.115991,23.73639099
175,2.916666667,12,7.114559,23.73161436
176,2.933333333,12,7.113412,23.72778838
177,2.95,12,7.112382,23.72435267
178,2.966666667,12,7.111597,23.72173419
179,2.983333333,12,7.11093,23.71950931
180,3,12,7.110497,23.71806498
181,3.016666667,12,7.110249,23.71723774
182,3.033333333,12,7.110174,23.71698757
183,3.05,12,7.110298,23.71740119
184,3.066666667,12,7.110599,23.71840522
185,3.083333333,12,7.11112,23.72014309
186,3.1,12,7.11179,23.72237797
187,3.116666667,12,7.112623,23.72515655
188,3.133333333,12,7.113747,23.72890582
189,3.15,12,7.114986,23.73303867
190,3.166666667,12,7.116446,23.73790871
191,3.183333333,12,7.118022,23.74316568
192,3.2,12,7.119888,23.74938999
193,3.216666667,12,7.121696,23.75542083
194,3.233333333,12,7.123849,23.76260246
195,3.25,12,7.1261,23.77011099
196,3.266666667,11,6.803288,22.69332606
197,3.283333333,11,6.798771,22.67825897
198,3.3,11,6.794396,22.66366554
199,3.316666667,11,6.790124,22.64941568
200,3.333333333,11,6.786024,22.63573956
201,3.35,11,6.781789,22.62161312
202,3.366666667,11,6.777941,22.60877757
203,3.383333333,11,6.774188,22.59625891
204,3.4,11,6.770595,22.58427395
205,3.416666667,11,6.767097,22.57260588
206,3.433333333,11,6.763772,22.56151487
207,3.45,11,6.760388,22.55022706
208,3.466666667,11,6.702079,22.35572918
209,3.483333333,11,6.700396,22.35011529
210,3.5,11,6.691845,22.32159223
211,3.516666667,11,6.689776,22.31469079
212,3.533333333,11,6.687849,22.30826301
213,3.55,11,6.686048,22.30225552
214,3.566666667,11,6.684293,22.29640147
215,3.583333333,11,6.682708,22.29111447
216,3.6,11,6.681222,22.28615771
217,3.616666667,11,6.67987,22.28164793
218,3.633333333,11,6.678545,22.2772282
219,3.65,11,6.67739,22.27337554
220,3.666666667,11,6.676358,22.26993315
221,3.683333333,11,6.675439,22.2668677
222,3.7,11,6.674616,22.26412247
223,3.716666667,11,6.673906,22.26175416
224,3.733333333,11,6.673308,22.25975945
225,3.75,11,6.672684,22.25767801
226,3.766666667,11,6.671994,22.25537642
227,3.783333333,11,6.671398,22.25338838
228,3.8,9,6.903509,23.02762733
229,3.816666667,9,6.908949,23.04577322
230,3.833333333,9,6.91462,23.06468964
231,3.85,9,6.920424,23.0840497
232,3.866666667,9,6.926095,23.10296612
233,3.883333333,9,6.932243,23.12347364
234,3.9,9,6.938428,23.14410458
235,3.916666667,9,6.944871,23.16559611
236,3.933333333,9,6.951325,23.18712434
237,3.95,9,6.957818,23.20878266
238,3.966666667,9,6.964547,23.23122819
239,3.983333333,9,6.971839,23.25555168
240,4,9,6.978837,23.27889449
241,4.016666667,9,6.98596,23.30265426
242,4.033333333,9,6.993219,23.32686768
243,4.05,9,7.000716,23.35187498
244,4.066666667,9,7.008276,23.37709243
245,4.083333333,9,7.015696,23.40184288
246,4.1,9,7.023645,23.42835789
247,4.116666667,9,7.031382,23.45416575
248,4.133333333,9,7.038684,23.4785226
249,4.15,9,7.045904,23.50260593
250,4.166666667,9,7.053459,23.52780669
251,4.183333333,9,7.060807,23.55231698
252,4.2,9,7.06883,23.57907883
253,4.216666667,9,7.076474,23.60457647
254,4.233333333,9,7.084481,23.63128495
255,4.25,9,7.092476,23.6579534
256,4.266666667,10,7.111097,23.72006637
257,4.283333333,10,7.113373,23.72765829
258,4.3,10,7.115832,23.73586063
259,4.316666667,10,7.118486,23.74471342
260,4.333333333,10,7.121297,23.7540899
261,4.35,10,7.124394,23.76442038
262,4.366666667,10,7.127644,23.77526122
263,4.383333333,12,7.127891,23.77608512
264,4.4,12,7.126279,23.77070807
265,4.416666667,12,7.124897,23.76609821
266,4.433333333,12,7.123697,23.76209544
267,4.45,12,7.122666,23.7586564
268,4.466666667,12,7.121862,23.75597454
269,4.483333333,12,7.121196,23.753753
270,4.5,12,7.120732,23.75220527
271,4.516666667,12,7.120433,23.75120791
272,4.533333333,12,7.120345,23.75091437
273,4.55,12,7.120442,23.75123793
274,4.566666667,12,7.120718,23.75215857
275,4.583333333,12,7.121185,23.75371631
276,4.6,12,7.121827,23.75585779
277,4.616666667,12,7.122685,23.75871977
278,4.633333333,12,7.123729,23.76220218
279,4.65,12,7.1249,23.76610822
280,4.666666667,12,7.12623,23.77054462
281,4.683333333,12,7.127725,23.7755314
282,4.7,12,7.129435,23.78123535
283,4.716666667,12,7.131337,23.78757974
284,4.733333333,12,7.133396,23.79444782
285,4.75,12,7.135606,23.80181959
286,4.766666667,12,7.13802,23.80987183
287,4.783333333,11,6.805691,22.70134161
288,4.8,11,6.801305,22.68671148
289,4.816666667,11,6.796925,22.67210138
290,4.833333333,11,6.792848,22.65850197
291,4.85,11,6.788784,22.64494592
292,4.866666667,11,6.784991,22.63229384
293,4.883333333,11,6.78111,22.61934822
294,4.9,11,6.777361,22.6068429
295,4.916666667,11,6.77399,22.59559845
296,4.933333333,11,6.770522,22.58403045
297,4.95,11,6.76721,22.57298281
298,4.966666667,11,6.713868,22.39505305
299,4.983333333,11,6.71212,22.38922235
300,5,11,6.702595,22.35745037
301,5.016666667,11,6.70046,22.35032877
302,5.033333333,11,6.698503,22.34380092
303,5.05,11,6.696537,22.33724305
304,5.066666667,11,6.694868,22.33167587
305,5.083333333,11,6.693215,22.32616205
306,5.1,11,6.691646,22.32092843
307,5.116666667,11,6.690192,22.31607841
308,5.133333333,11,6.688864,22.31164868
309,5.15,11,6.687662,22.30763924
310,5.166666667,11,6.686561,22.3039667
311,5.183333333,11,6.685635,22.3008779
312,5.2,11,6.684738,22.29788583
313,5.216666667,11,6.683959,22.29528736
314,5.233333333,11,6.683107,22.2924454
315,5.25,11,6.682265,22.28963679
316,5.266666667,11,6.681561,22.28728849
317,5.283333333,9,6.916423,23.0707038
318,5.3,9,6.921661,23.08817589
319,5.316666667,9,6.927362,23.10719238
320,5.333333333,9,6.933139,23.12646237
321,5.35,9,6.938894,23.14565899
322,5.366666667,9,6.944839,23.16548937
323,5.383333333,9,6.951075,23.18629043
324,5.4,9,6.956889,23.20568385
325,5.416666667,9,6.963791,23.22870644
326,5.433333333,9,6.970106,23.24977101
327,5.45,9,6.977088,23.27306046
328,5.466666667,9,6.983566,23.29466874
329,5.483333333,9,6.990773,23.3187087
330,5.5,9,6.997647,23.3416379
331,5.516666667,9,7.004976,23.36608481
332,5.533333333,9,7.012354,23.39069517
333,5.55,9,7.019535,23.41464841
334,5.566666667,9,7.027432,23.44098997
335,5.583333333,9,7.034142,23.46337212
336,5.6,9,7.041427,23.48767226
337,5.616666667,9,7.048169,23.51016115
338,5.633333333,9,7.055539,23.53474483
339,5.65,9,7.062922,23.55937186
340,5.666666667,9,7.070438,23.58444254
341,5.683333333,9,7.077613,23.60837577
342,5.7,9,7.085539,23.63481406
343,5.716666667,9,7.093765,23.66225304
344,5.733333333,9,7.101261,23.687257
345,5.75,9,7.109456,23.71459258
346,5.766666667,9,7.117786,23.74237847
347,5.783333333,9,7.126207,23.7704679
348,5.8,10,7.132979,23.79305686
349,5.816666667,10,7.135676,23.80205309
350,5.833333333,10,7.138433,23.81124945
351,5.85,10,7.14147,23.82137979
352,5.866666667,12,7.141888,23.82277409
353,5.883333333,12,7.140133,23.81692004
354,5.9,12,7.138517,23.81152964
355,5.916666667,12,7.13706,23.80666961
356,5.933333333,12,7.135886,23.80275357
357,5.95,12,7.134814,23.79917776
358,5.966666667,12,7.133949,23.79629243
359,5.983333333,12,7.133248,23.79395415
360,6,12,7.132739,23.79225631
361,6.016666667,12,7.132494,23.79143908
362,6.033333333,12,7.132315,23.790842
363,6.05,12,7.132314,23.79083866
364,6.066666667,12,7.132476,23.79137903
365,6.083333333,12,7.132831,23.79256319
366,6.1,12,7.133373,23.7943711
367,6.116666667,12,7.134054,23.79664268
368,6.133333333,12,7.134875,23.79938124
369,6.15,12,7.135912,23.8028403
370,6.166666667,12,7.137144,23.80694981
371,6.183333333,12,7.138463,23.81134952
372,6.2,12,7.14011,23.81684332
373,6.216666667,12,7.141863,23.8226907
374,6.233333333,12,7.143859,23.82934864
375,6.25,12,7.145872,23.83606328
376,6.266666667,12,7.14819,23.8437953
377,6.283333333,12,7.150728,23.85226115
378,6.3,11,6.809793,22.71502441
379,6.316666667,11,6.805446,22.70052437
380,6.333333333,11,6.801062,22.68590092
381,6.35,11,6.797105,22.67270179
382,6.366666667,11,6.793061,22.65921246
383,6.383333333,11,6.789128,22.64609339
384,6.4,11,6.785543,22.63413511
385,6.416666667,11,6.781905,22.62200005
386,6.433333333,11,6.778392,22.61028194
387,6.45,11,6.775144,22.59944778
388,6.466666667,11,6.771822,22.58836678
389,6.483333333,11,6.724619,22.43091452
390,6.5,11,6.722931,22.42528396
391,6.516666667,11,6.712719,22.3912204
392,6.533333333,11,6.71057,22.3840521
393,6.55,11,6.708621,22.37755094
394,6.566666667,11,6.706725,22.37122656
395,6.583333333,11,6.705035,22.36558933
396,6.6,11,6.703314,22.35984869
397,6.616666667,11,6.701628,22.3542248
398,6.633333333,11,6.699944,22.34860758
399,6.65,11,6.69829,22.34309043
400,6.666666667,11,6.696754,22.33796689
401,6.683333333,11,6.695415,22.33350046
402,6.7,11,6.694139,22.32924419
403,6.716666667,11,6.692967,22.32533482
404,6.733333333,11,6.691954,22.32195581
405,6.75,10,7.158143,23.87699493
406,6.766666667,9,6.927612,23.10802629
407,6.783333333,9,6.933059,23.12619552
408,6.8,9,6.938261,23.14354753
409,6.816666667,9,6.943992,23.16266409
410,6.833333333,9,6.949862,23.1822443
411,6.85,9,6.955889,23.20234821
412,6.866666667,9,6.96169,23.22169826
413,6.883333333,9,6.968058,23.24293962
414,6.9,9,6.974141,23.26323032
415,6.916666667,9,6.980863,23.2856525
416,6.933333333,9,6.987255,23.30697392
417,6.95,9,6.99401,23.32950617
418,6.966666667,9,7.000793,23.35213183
419,6.983333333,9,7.007513,23.37454733
420,7,9,7.014766,23.39874074
421,7.016666667,9,7.021744,23.42201684
422,7.033333333,9,7.028599,23.44488266
423,7.05,9,7.035256,23.46708802
424,7.066666667,9,7.041903,23.48926003
425,7.083333333,9,7.049026,23.5130198
426,7.1,9,7.055836,23.53573551
427,7.116666667,9,7.063141,23.56010237
428,7.133333333,9,7.070036,23.58310161
429,7.15,9,7.077147,23.60682136
430,7.166666667,9,7.085081,23.63328633
431,7.183333333,9,7.092451,23.65787001
432,7.2,9,7.100444,23.68453178
433,7.216666667,9,7.108094,23.71004944
434,7.233333333,9,7.116024,23.73650107
435,7.25,9,7.124345,23.76425694
436,7.266666667,9,7.132474,23.79137236
437,7.283333333,9,7.14062,23.81854449
438,7.3,9,7.149885,23.84944921
439,7.316666667,10,7.152684,23.85878567
440,7.333333333,10,7.155363,23.86772185
441,7.35,12,7.154922,23.86625083
442,7.366666667,12,7.152802,23.85917927
443,7.383333333,12,7.150935,23.85295163
444,7.4,12,7.149252,23.84733775
445,7.416666667,12,7.147736,23.84228092
446,7.433333333,12,7.146432,23.83793124
447,7.45,12,7.145247,23.83397851
448,7.466666667,12,7.14428,23.83075294
449,7.483333333,12,7.1435,23.82815114
450,7.5,12,7.142908,23.82617644
451,7.516666667,12,7.142494,23.82479549
452,7.533333333,12,7.14226,23.82401495
453,7.55,12,7.142198,23.82380814
454,7.566666667,12,7.142266,23.82403496
455,7.583333333,12,7.142526,23.82490223
456,7.6,12,7.142973,23.82639326
457,7.616666667,12,7.143573,23.82839464
458,7.633333333,12,7.144399,23.83114988
459,7.65,12,7.145353,23.83433208
460,7.666666667,12,7.146562,23.83836487
461,7.683333333,12,7.147882,23.84276792
462,7.7,12,7.149354,23.84767798
463,7.716666667,12,7.151145,23.85365212
464,7.733333333,12,7.152937,23.85962958
465,7.75,12,7.155086,23.86679788
466,7.766666667,12,7.157348,23.8743431
467,7.783333333,12,7.159681,23.88212515
468,7.8,12,7.162373,23.89110469
469,7.816666667,11,6.811895,22.72203592
470,7.833333333,11,6.807753,22.7082197
471,7.85,11,6.803422,22.69377304
472,7.866666667,11,6.79941,22.68039045
473,7.883333333,11,6.795615,22.66773169
474,7.9,11,6.791833,22.65511629
475,7.916666667,11,6.788275,22.64324808
476,7.933333333,11,6.784801,22.63166007
477,7.95,11,6.781609,22.6210127
478,7.966666667,11,6.778298,22.60996839
479,7.983333333,11,6.775313,22.60001151
480,8,11,6.733236,22.45965774
481,8.016666667,11,6.731614,22.45424733
482,8.033333333,11,6.718919,22.41190137
483,8.05,11,6.716705,22.40451626
484,8.066666667,11,6.714421,22.39689766
485,8.083333333,11,6.712353,22.38999955
486,8.1,11,6.71027,22.38305141
487,8.116666667,11,6.708395,22.37679708
488,8.133333333,11,6.706637,22.37093303
489,8.15,11,6.705041,22.36560934
490,8.166666667,11,6.703501,22.36047246
491,8.183333333,11,6.702045,22.35561576
492,8.2,11,6.700665,22.35101258
493,8.216666667,10,7.182473,23.95815108
494,8.233333333,10,7.179756,23.94908814
495,8.25,10,7.177042,23.94003521
496,8.266666667,10,7.174623,23.93196629
497,8.283333333,10,7.172314,23.9242643
498,8.3,9,6.958288,23.21035041
499,8.316666667,9,6.964343,23.23054771
500,8.333333333,9,6.970071,23.24965427
501,8.35,9,6.976269,23.27032857
502,8.366666667,9,6.982231,23.29021566
503,8.383333333,9,6.988516,23.31118016
504,8.4,9,6.994782,23.33208129
505,8.416666667,9,7.001276,23.35374294
506,8.433333333,9,7.007647,23.37499431
507,8.45,9,7.014691,23.39849057
508,8.466666667,9,7.021299,23.42053248
509,8.483333333,9,7.027688,23.44184389
510,8.5,9,7.033823,23.46230805
511,8.516666667,9,7.04027,23.48381293
512,8.533333333,9,7.046914,23.50597492
513,8.55,9,7.053557,23.52813359
514,8.566666667,9,7.060336,23.5507459
515,8.583333333,9,7.067045,23.57312471
516,8.6,9,7.074309,23.59735481
517,8.616666667,9,7.081254,23.62052083
518,8.633333333,9,7.08855,23.64485767
519,8.65,9,7.095806,23.66906108
520,8.666666667,9,7.103455,23.6945754
521,8.683333333,9,7.111327,23.72083356
522,8.7,9,7.119229,23.7471918
523,8.716666667,9,7.126833,23.77255601
524,8.733333333,9,7.135211,23.80050201
525,8.75,9,7.143728,23.82891167
526,8.766666667,9,7.151861,23.85604043
527,8.783333333,9,7.16031,23.88422326
528,8.8,12,7.163455,23.89471386
529,8.816666667,12,7.161262,23.8873988
530,8.833333333,12,7.159278,23.88078088
531,8.85,12,7.157252,23.87402287
532,8.866666667,12,7.155592,23.86848571
533,8.883333333,12,7.153939,23.8629719
534,8.9,12,7.152569,23.85840207
535,8.916666667,12,7.151339,23.85429923
536,8.933333333,12,7.150234,23.85061335
537,8.95,12,7.149363,23.847708
538,8.966666667,12,7.148636,23.84528299
539,8.983333333,12,7.148099,23.84349175
540,9,12,7.147725,23.84224422
541,9.016666667,12,7.147521,23.84156375
542,9.033333333,12,7.147492,23.84146702
543,9.05,12,7.14763,23.84192734
544,9.066666667,12,7.147951,23.84299808
545,9.083333333,12,7.148447,23.84465256
546,9.1,12,7.149102,23.8468374
547,9.116666667,12,7.149758,23.84902558
548,9.133333333,12,7.149993,23.84980946
549,9.15,12,7.150429,23.8512638
550,9.166666667,12,7.151019,23.85323182
551,9.183333333,12,7.151796,23.85582362
552,9.2,12,7.152696,23.85882569
553,9.216666667,12,7.153784,23.86245487
554,9.233333333,12,7.155079,23.86677453
555,9.25,12,7.156585,23.871798
556,9.266666667,12,7.15825,23.87735184
557,9.283333333,12,7.159996,23.88317587
558,9.3,12,7.16203,23.88996057
559,9.316666667,12,7.164036,23.89665186
560,9.333333333,11,6.803141,22.69283572
561,9.35,11,6.798662,22.67789539
562,9.366666667,11,6.794514,22.66405915
563,9.383333333,11,6.790503,22.65067989
564,9.4,11,6.786196,22.63631329
565,9.416666667,11,6.782457,22.62384132
566,9.433333333,11,6.778498,22.61063552
567,9.45,11,6.775066,22.5991876
568,9.466666667,11,6.771379,22.58688909
569,9.483333333,11,6.768005,22.57563464
570,9.5,11,6.729711,22.44789961
571,9.516666667,11,6.727486,22.44047781
572,9.533333333,11,6.712265,22.38970601
573,9.55,11,6.709517,22.38053967
574,9.566666667,11,6.706968,22.37203712
575,9.583333333,11,6.70472,22.3645386
576,9.6,11,6.702374,22.35671319
577,9.616666667,11,6.700089,22.34909125
578,9.633333333,11,6.698021,22.34219314
579,9.65,11,6.713835,22.39494297
580,9.666666667,11,6.71225,22.38965598
581,9.683333333,10,7.208301,24.04430401
582,9.7,10,7.205295,24.03427707
583,9.716666667,10,7.202448,24.0247805
584,9.733333333,10,7.19989,24.01624793
585,9.75,10,7.197439,24.00807228
586,9.766666667,10,7.194925,23.99968648
587,9.783333333,10,7.192843,23.99274167
588,9.8,10,7.190746,23.98574683
589,9.816666667,10,7.188697,23.9789121
590,9.833333333,9,6.989134,23.31324159
591,9.85,9,6.995179,23.33340554
592,9.866666667,9,7.001582,23.35476365
593,9.883333333,9,7.007488,23.37446394
594,9.9,9,7.013487,23.39447445
595,9.916666667,9,7.019789,23.41549566
596,9.933333333,9,7.026258,23.43707392
597,9.95,9,7.032253,23.45707109
598,9.966666667,9,7.038051,23.47641114
599,9.983333333,9,7.044342,23.49739565
600,10,9,7.0505,23.51793653
601,10.01666667,9,7.056748,23.53877762
602,10.03333333,9,7.063666,23.56185358
603,10.05,9,7.069954,23.58282809
604,10.06666667,9,7.07678,23.60559718
605,10.08333333,9,7.08394,23.62948037
606,10.1,9,7.091164,23.65357704
607,10.11666667,9,7.09796,23.67624605
608,10.13333333,9,7.105684,23.70201054
609,10.15,9,7.113195,23.72706454
610,10.16666667,9,7.120531,23.7515348
611,10.18333333,9,7.128086,23.77673557
612,10.2,9,7.135945,23.80295037
613,10.21666667,9,7.144028,23.82991236
614,10.23333333,9,7.152225,23.85725461
615,10.25,9,7.160642,23.8853307
616,10.26666667,12,7.158265,23.87740188
617,10.28333333,12,7.155639,23.86864249
618,10.3,12,7.153091,23.86014327
619,10.31666667,12,7.150811,23.85253801
620,10.33333333,12,7.14861,23.84519627
621,10.35,12,7.146636,23.83861171
622,10.36666667,12,7.144777,23.83241075
623,10.38333333,12,7.143304,23.82749735
624,10.4,12,7.141629,23.82191016
625,10.41666667,12,7.140336,23.81759717
626,10.43333333,12,7.139266,23.81402804
627,10.45,12,7.138282,23.81074577
628,10.46666667,12,7.137531,23.8082407
629,10.48333333,12,7.136913,23.80617927
630,10.5,12,7.136462,23.8046749
631,10.51666667,12,7.136213,23.80384432
632,10.53333333,12,7.13613,23.80356747
633,10.55,12,7.13622,23.80386767
634,10.56666667,12,7.136455,23.80465155
635,10.58333333,12,7.13609,23.80343404
636,10.6,12,7.13592,23.80286698
637,10.61666667,12,7.135927,23.80289033
638,10.63333333,12,7.136121,23.80353745
639,10.65,12,7.136476,23.8047216
640,10.66666667,12,7.137009,23.8064995
641,10.68333333,12,7.137749,23.80896787
642,10.7,12,7.138631,23.8119099
643,10.71666667,12,7.139692,23.81544902
644,10.73333333,12,7.140945,23.81962858
645,10.75,12,7.142395,23.82446526
646,10.76666667,12,7.14396,23.82968554
647,10.78333333,12,7.14568,23.83542284
648,10.8,12,7.14766,23.84202741
649,10.81666667,12,7.149843,23.84930911
650,10.83333333,12,7.152138,23.85696441
651,10.85,11,6.784862,22.63186354
652,10.86666667,11,6.78056,22.61751361
653,10.88333333,11,6.776545,22.60412101
654,10.9,11,6.772602,22.59096858
655,10.91666667,11,6.768616,22.57767272
656,10.93333333,11,6.764899,22.56527414
657,10.95,11,6.76145,22.55376951
658,10.96666667,11,6.75783,22.54169449
659,10.98333333,11,6.754355,22.53010314
660,11,11,6.751116,22.519299
661,11.01666667,11,6.717813,22.40821215
662,11.03333333,11,6.715771,22.40140077
663,11.05,11,6.699068,22.34568556
664,11.06666667,11,6.696629,22.33754993
665,11.08333333,11,6.694169,22.32934426
666,11.1,11,6.691885,22.32172565
667,11.11666667,11,6.689736,22.31455736
668,11.13333333,11,6.687627,22.30752249
669,11.15,11,6.68565,22.30092793
670,11.16666667,11,6.683857,22.29494713
671,11.18333333,11,6.682124,22.28916646
672,11.2,11,6.68047,22.28364931
673,11.21666667,10,7.223929,24.09643341
674,11.23333333,10,7.221264,24.08754392
675,11.25,10,7.218894,24.07963845
676,11.26666667,10,7.21637,24.0712193
677,11.28333333,10,7.213889,24.06294357
678,11.3,10,7.211842,24.05611551
679,11.31666667,10,7.20973,24.04907064
