FaliureRate,DownTime,AveragePathLength,Error
0,0.1433333333,105.8101473,0.05673579624
0.04166666667,0.12,108.4880747,0.482280937
0.08333333333,0.1533333333,112.7267997,0.3986079358
0.125,0.13,118.4183926,0.9549755545
0.1666666667,0.1433333333,120.5230811,0.659641457
0.2083333333,0.18,134.1667037,0.9970956655
0.25,0.17,141.8886199,1.473862018
0.2916666667,0.2166666667,158.3048563,2.082542025
0.3333333333,0.2366666667,172.9713976,3.903344619
0.375,0.3066666667,240.2728291,12.03981935
0.4166666667,0.6266666667,279.0278979,22.81841105
0.4583333333,0.7633333333,250.532657,13.41586289
0.5,0.9533333333,232.3108197,251.8179491
0.5416666667,1,,
0.5833333333,1,,
0.625,1,,
0.6666666667,1,,
0.7083333333,1,,
0.75,1,,
0.7916666667,1,,
0.8333333333,1,,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,
