Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
135,2.25,11,6.654822,22.19809679
136,2.266666667,11,6.654719,22.19775322
137,2.283333333,9,6.880865,22.95209508
138,2.3,9,6.886617,22.97128169
139,2.316666667,9,6.892632,22.99134557
140,2.333333333,9,6.898813,23.01196316
141,2.35,9,6.904979,23.03253072
142,2.366666667,9,6.911372,23.05385548
143,2.383333333,9,6.917951,23.07580066
144,2.4,9,6.92469,23.09827954
145,2.416666667,9,6.93149,23.1209619
146,2.433333333,9,6.938614,23.14472501
147,2.45,9,6.945412,23.1674007
148,2.466666667,9,6.952998,23.19270487
149,2.483333333,9,6.96044,23.21752871
150,2.5,9,6.967848,23.24223914
151,2.516666667,9,6.975747,23.26858736
152,2.533333333,9,6.98338,23.29404831
153,2.55,9,6.99159,23.32143392
154,2.566666667,9,6.999753,23.34866276
155,2.583333333,9,7.007931,23.37594163
156,2.6,9,7.016618,23.40491835
157,2.616666667,10,7.061604,23.55497549
158,2.633333333,10,7.063112,23.56000564
159,2.65,10,7.064925,23.56605315
160,2.666666667,10,7.066878,23.57256766
161,2.683333333,10,7.068992,23.5796192
162,2.7,10,7.0712,23.5869843
163,2.716666667,10,7.073617,23.59504654
164,2.733333333,10,7.076272,23.60390267
165,2.75,10,7.079094,23.61331585
166,2.766666667,10,7.082164,23.62355627
167,2.783333333,10,7.085558,23.63487743
168,2.8,10,7.089075,23.64660888
169,2.816666667,10,7.092815,23.65908418
170,2.833333333,10,7.096708,23.67206983
171,2.85,12,7.096016,23.66976157
172,2.866666667,12,7.095088,23.66666609
173,2.883333333,12,7.094383,23.66431446
174,2.9,12,7.093903,23.66271336
175,2.916666667,12,7.093593,23.66167931
176,2.933333333,12,7.093507,23.66139244
177,2.95,12,7.093626,23.66178938
178,2.966666667,12,7.093951,23.66287347
179,2.983333333,12,7.094471,23.664608
180,3,12,7.09521,23.66707304
181,3.016666667,12,7.096168,23.67026858
182,3.033333333,12,7.097316,23.6740979
183,3.05,12,7.098591,23.67835084
184,3.066666667,12,7.100165,23.68360114
185,3.083333333,12,7.101936,23.68950856
186,3.1,12,7.103852,23.69589965
187,3.116666667,12,7.106061,23.70326808
188,3.133333333,11,6.793639,22.66114046
189,3.15,11,6.789587,22.64762444
190,3.166666667,11,6.785469,22.63388827
191,3.183333333,11,6.781559,22.62084592
192,3.2,11,6.777726,22.60806041
193,3.216666667,11,6.77422,22.59636565
194,3.233333333,11,6.770844,22.58510453
195,3.25,11,6.767428,22.57370998
196,3.266666667,11,6.763947,22.56209861
197,3.283333333,11,6.760234,22.54971338
198,3.3,11,6.756489,22.5372214
199,3.316666667,11,6.753071,22.52582018
200,3.333333333,11,6.681943,22.28856271
201,3.35,11,6.677206,22.27276178
202,3.366666667,11,6.674878,22.26499641
203,3.383333333,11,6.672729,22.25782811
204,3.4,11,6.670688,22.25102007
205,3.416666667,11,6.66864,22.24418868
206,3.433333333,11,6.666778,22.23797771
207,3.45,11,6.665118,22.23244055
208,3.466666667,11,6.663444,22.22685669
209,3.483333333,11,6.662,22.22204002
210,3.5,11,6.660596,22.21735678
211,3.516666667,11,6.659387,22.21332399
212,3.533333333,11,6.65825,22.20953137
213,3.55,11,6.657246,22.20618239
214,3.566666667,11,6.656404,22.20337378
215,3.583333333,11,6.655634,22.20080533
216,3.6,11,6.655009,22.19872056
217,3.616666667,11,6.654495,22.19700604
218,3.633333333,11,6.654104,22.1957018
219,3.65,11,6.653843,22.1948312
220,3.666666667,11,6.653695,22.19433752
221,3.683333333,11,6.653678,22.19428082
222,3.7,11,6.653781,22.19462439
223,3.716666667,11,6.654008,22.19538158
224,3.733333333,9,6.881919,22.95561084
225,3.75,9,6.887646,22.97471406
226,3.766666667,9,6.893662,22.99478128
227,3.783333333,9,6.899772,23.01516204
228,3.8,9,6.905972,23.03584302
229,3.816666667,9,6.912397,23.05727451
230,3.833333333,9,6.919166,23.07985346
231,3.85,9,6.925744,23.10179531
232,3.866666667,9,6.932557,23.12452103
233,3.883333333,9,6.939788,23.14864105
234,3.9,9,6.946887,23.17232077
235,3.916666667,9,6.954273,23.19695781
236,3.933333333,9,6.961475,23.2209811
237,3.95,9,6.969331,23.24718589
238,3.966666667,9,6.97699,23.27273357
239,3.983333333,9,6.985055,23.29963551
240,4,9,6.99305,23.32630396
