FaliureRate,DownTime,AveragePathLength,Error
0,0,46.04443889,0.01119946216
0.04166666667,0,47.94598849,0.1820481718
0.08333333333,0,47.91200211,0.2348887234
0.125,0,49.93190225,0.4171014359
0.1666666667,0.01,53.09728596,0.8032876996
0.2083333333,0.01666666667,57.15534564,1.078428619
0.25,0.02333333333,57.93768254,0.9317756094
0.2916666667,0.01,65.61374362,0.8863643968
0.3333333333,0.04333333333,83.09812027,1.966500766
0.375,0.09666666667,107.2791283,3.123110763
0.4166666667,0.2533333333,118.9016851,5.197346106
0.4583333333,0.4266666667,87.77482513,4.491400292
0.5,0.83,68.92620399,5.292294741
0.5416666667,0.8466666667,66.4720731,2.914213162
0.5833333333,0.91,58.7323551,2.662820123
0.625,0.9066666667,59.43372276,3.471289329
0.6666666667,0.9866666667,56.4864477,12.25710584
0.7083333333,1,,
0.75,1,,
0.7916666667,1,,
0.8333333333,1,,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,
