Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
136,45.01666667,11,6.610211,22.04929051
137,45.35,10,6.925087,23.09960379
138,45.68333333,10,6.950813,23.18541649
139,46.01666667,11,6.777147,22.60612907
140,46.35,11,6.620384,22.08322399
141,46.68333333,11,6.61778,22.07453798
142,47.01666667,10,6.936927,23.13909778
143,47.35,10,6.994681,23.33174439
144,47.68333333,11,6.657065,22.20557863
145,48.01666667,11,6.617645,22.07408767
146,48.35,10,6.943947,23.16251398
147,48.68333333,10,6.965386,23.23402679
148,49.01666667,11,6.780366,22.6168665
149,49.35,11,6.626709,22.10432192
150,49.68333333,11,6.622504,22.09029555
151,50.01666667,10,6.958253,23.21023366
152,50.35,10,7.004643,23.36497404
153,50.68333333,11,6.666771,22.23795437
154,51.01666667,11,6.621266,22.08616602
155,51.35,9,6.849092,22.84611176
156,51.68333333,10,6.98627,23.30368831
157,52.01666667,10,7.082274,23.62392319
158,52.35,11,6.636558,22.13717465
159,52.68333333,11,6.629712,22.11433885
160,53.01666667,10,6.981452,23.2876172
161,53.35,10,7.033464,23.46111055
162,53.68333333,11,6.75813,22.54269519
163,54.01666667,11,6.634991,22.1319477
164,54.35,9,6.868572,22.91109004
165,54.68333333,10,7.010381,23.38411395
166,55.01666667,12,7.091812,23.65573853
167,55.35,11,6.649005,22.17869337
168,55.68333333,11,6.639343,22.14646441
169,56.01666667,10,7.007393,23.37414706
170,56.35,10,7.052802,23.52561518
171,56.68333333,11,6.764404,22.563623
172,57.01666667,11,6.643248,22.15949008
173,57.35,9,6.89404,22.99604215
174,57.68333333,10,7.03791,23.47594081
175,58.01666667,12,7.095592,23.66834725
176,58.35,11,6.680883,22.28502693
177,58.68333333,11,6.650682,22.18428724
178,59.01666667,9,6.955762,23.20192458
179,59.35,10,7.073415,23.59437274
180,59.68333333,11,6.787259,22.63985907
181,60.01666667,11,6.663472,22.22695009
182,60.35,9,6.901817,23.02198343
183,60.68333333,10,7.065688,23.56859825
184,61.01666667,12,7.107658,23.7085951
185,61.35,11,6.69456,22.33064849
186,61.68333333,11,6.666939,22.23851475
187,62.01666667,9,6.986731,23.30522604
188,62.35,10,7.108424,23.7111502
189,62.68333333,12,7.123279,23.76070114
190,63.01666667,11,6.678791,22.27804877
191,63.35,9,6.92276,23.09184176
192,63.68333333,9,7.060813,23.552337
193,64.01666667,12,7.11903,23.74652801
194,64.35,11,6.769378,22.58021448
195,64.68333333,11,6.683241,22.29289237
196,65.01666667,9,7.005724,23.36857987
197,65.35,10,7.126604,23.77179215
198,65.68333333,12,7.133123,23.79353719
199,66.01666667,11,6.70639,22.37010912
200,66.35,9,6.946627,23.1714535
201,66.68333333,9,7.081681,23.62194515
202,67.01666667,12,7.138704,23.81215341
203,67.35,11,6.796321,22.67008665
204,67.68333333,11,6.701332,22.35323745
205,68.01666667,9,7.014514,23.39790016
206,68.35,10,7.154848,23.86600399
207,68.68333333,12,7.146559,23.83835487
208,69.01666667,11,6.727017,22.43891339
209,69.35,9,6.978384,23.27738345
210,69.68333333,9,7.100224,23.68379794
211,70.01666667,12,7.131822,23.78919753
212,70.35,11,6.795137,22.66613725
213,70.68333333,11,6.70415,22.36263729
214,71.01666667,9,7.054971,23.53285018
215,71.35,12,7.136619,23.8051986
216,71.68333333,12,7.121294,23.7540799
217,72.01666667,11,6.757922,22.54200137
218,72.35,10,7.215144,24.0671298
219,72.68333333,9,7.155707,23.86886931
220,73.01666667,12,7.108647,23.71189405
221,73.35,12,7.129661,23.78198921
222,73.68333333,11,6.685925,22.30184523
223,74.01666667,9,7.09773,23.67547885
224,74.35,12,7.116117,23.73681128
225,74.68333333,12,7.099152,23.68022214
226,75.01666667,11,6.744818,22.49829113
227,75.35,11,6.656847,22.20485146
228,75.68333333,12,7.141977,23.82307096
229,76.01666667,12,7.090013,23.64973771
230,76.35,12,7.100094,23.68336431
231,76.68333333,11,6.665151,22.23255063
232,77.01666667,12,7.191578,23.98852209
233,77.35,12,7.105105,23.70007921
234,77.68333333,12,7.07932,23.6140697
235,78.01666667,11,6.730244,22.4496775
236,78.35,11,6.641171,22.15256196
237,78.68333333,12,7.145515,23.83487246
238,79.01666667,12,7.075515,23.60137759
239,79.35,12,7.085908,23.63604491
240,79.68333333,11,6.650192,22.18265277
241,80.01666667,11,6.62707,22.10552608
242,80.35,12,7.092378,23.6576265
243,80.68333333,12,7.064903,23.56597977
244,81.01666667,11,6.706373,22.37005242
245,81.35,11,6.625536,22.10040921
246,81.68333333,12,7.130991,23.78642561
247,82.01666667,12,7.064984,23.56624996
248,82.35,12,7.067687,23.57526619
249,82.68333333,11,6.63599,22.13528
250,83.01666667,11,6.61413,22.06236289
