FaliureRate,ConnectedComponents,Error
0,1,0
0.04166666667,1.01,0.02276003475
0.08333333333,1.06,0.05432439213
0.125,1.28,0.121386852
0.1666666667,2.22,0.2475967872
0.2083333333,3.79,0.4005293227
0.25,6.57,0.6088752426
0.2916666667,10.99,0.6142143292
0.3333333333,19.03,0.9516835597
0.375,29.58,1.309735637
0.4166666667,49.8,1.766542706
0.4583333333,74.25,1.964928363
0.5,102.88,2.136129171
0.5416666667,132.55,1.954247511
0.5833333333,159.03,2.369150455
0.625,179.8,2.335908541
0.6666666667,196.35,2.434704845
0.7083333333,204.42,2.408734773
0.75,203.04,2.254038659
0.7916666667,196.24,1.993151393
0.8333333333,179.3,1.591230646
0.875,149.64,1.206310036
0.9166666667,109.82,0.8218225858
0.9583333333,60.48,0.4943051823
1,0,0
