Time,Time (Minutes),Distance (Hops),Distance (1000km),Time of Signal (milliseconds)
136,45.01666667,16,9.983538,33.3014982
137,45.35,16,9.900134,33.0232924
138,45.68333333,16,9.84032,32.82377437
139,46.01666667,16,9.83984,32.82217326
140,46.35,16,9.894524,33.00457945
141,46.68333333,17,10.38762,34.64937067
142,47.01666667,16,9.864597,32.90475373
143,47.35,16,9.834167,32.80325017
144,47.68333333,16,9.860577,32.89134445
145,48.01666667,16,9.998348,33.35089904
146,48.35,17,10.40224,34.69813774
147,48.68333333,16,9.843177,32.8333043
148,49.01666667,16,9.84406,32.83624967
149,49.35,16,9.905398,33.04085121
150,49.68333333,17,10.39591,34.67702313
151,50.01666667,16,9.872468,32.93100856
152,50.35,16,9.845007,32.83940852
153,50.68333333,16,9.873399,32.93411404
154,51.01666667,16,10.01285,33.39927251
155,51.35,17,10.41064,34.72615712
156,51.68333333,16,9.86018,32.8900202
157,52.01666667,16,9.860505,32.89110429
158,52.35,16,9.917272,33.08045862
159,52.68333333,17,10.40635,34.71184722
160,53.01666667,16,9.885834,32.97559273
161,53.35,16,9.856526,32.87783177
162,53.68333333,16,9.88645,32.97764749
163,54.01666667,16,10.02383,33.43589784
164,54.35,17,10.41605,34.74420294
165,54.68333333,16,9.869411,32.9208115
166,55.01666667,16,9.870158,32.92330323
167,55.35,16,9.930829,33.1256799
168,55.68333333,17,10.41859,34.75267547
169,56.01666667,14,10.41003,34.72412238
170,56.35,16,9.874376,32.93737296
171,56.68333333,16,9.905262,33.04039757
172,57.01666667,16,10.04403,33.50327779
173,57.35,17,10.43478,34.80667949
174,57.68333333,16,9.892168,32.99672068
175,58.01666667,16,9.895431,33.00760488
176,58.35,16,9.948895,33.18594159
177,58.68333333,16,10.11558,33.7419429
178,59.01666667,14,10.36727,34.58149037
179,59.35,16,9.893433,33.00094027
180,59.68333333,16,9.926291,33.11054276
181,60.01666667,16,10.07037,33.59113857
182,60.35,14,10.44035,34.82525901
183,60.68333333,16,9.906804,33.04554113
184,61.01666667,16,9.913039,33.06633885
185,61.35,16,9.962917,33.23271395
186,61.68333333,16,10.14372,33.83580784
187,62.01666667,14,10.32768,34.44943235
188,62.35,16,9.917063,33.07976147
189,62.68333333,16,9.947035,33.1797373
190,63.01666667,16,10.01529,33.40741147
191,63.35,14,10.41728,34.74830578
192,63.68333333,14,10.23137,34.12817677
193,64.01666667,16,9.941633,33.16171816
194,64.35,16,9.987477,33.31463729
195,64.68333333,16,10.16763,33.91556301
196,65.01666667,14,10.2892,34.32107688
197,65.35,16,9.942289,33.16390634
198,65.68333333,16,9.966146,33.24348473
199,66.01666667,16,10.03601,33.47652595
200,66.35,14,10.37767,34.61618104
201,66.68333333,14,10.20055,34.02537231
202,67.01666667,16,9.958582,33.21825394
203,67.35,16,10.00633,33.37752413
204,67.68333333,16,10.18726,33.98104164
205,68.01666667,14,10.26589,34.24332309
206,68.35,16,9.949545,33.18810976
207,68.68333333,16,9.969672,33.2552462
208,69.01666667,14,10.04098,33.49310409
209,69.35,14,10.35518,34.54116247
210,69.68333333,14,10.17047,33.92503623
211,70.01666667,16,9.9444,33.17094788
212,70.35,16,9.983717,33.30209528
213,70.68333333,16,10.18748,33.98177549
214,71.01666667,14,10.24323,34.16773747
215,71.35,16,9.9296,33.1215804
216,71.68333333,16,9.944571,33.17151828
217,72.01666667,14,10.0071,33.38009257
218,72.35,14,10.33011,34.45753795
219,72.68333333,14,10.15016,33.85728937
220,73.01666667,16,9.924066,33.10312096
221,73.35,16,9.960081,33.22325407
222,73.68333333,16,10.17694,33.94661783
223,74.01666667,14,10.21179,34.06286492
224,74.35,16,9.916617,33.07827377
225,74.68333333,16,9.925064,33.10644993
226,75.01666667,14,9.976126,33.27677443
227,75.35,14,10.30002,34.35716852
228,75.68333333,16,9.923269,33.10046245
229,76.01666667,16,9.90104,33.02631449
230,76.35,16,9.937332,33.14737157
231,76.68333333,16,10.15594,33.87656937
232,77.01666667,14,10.19333,34.00128899
233,77.35,16,9.89305,32.99966272
234,77.68333333,16,9.901693,33.02849266
235,78.01666667,14,9.947681,33.18189212
236,78.35,15,10.34807,34.51744607
237,78.68333333,16,9.903334,33.03396645
238,79.01666667,16,9.883203,32.96681666
239,79.35,16,9.919467,33.08778035
240,79.68333333,16,10.14879,33.85271954
241,80.01666667,14,10.16001,33.89014543
242,80.35,16,9.880755,32.95865101
243,80.68333333,16,9.889862,32.9890287
244,81.01666667,14,9.915719,33.07527836
245,81.35,15,10.32119,34.42778404
246,81.68333333,16,9.892389,32.99745786
247,82.01666667,16,9.868752,32.91861332
248,82.35,16,9.901272,33.02708836
249,82.68333333,14,9.926916,33.11262754
250,83.01666667,17,10.41906,34.75424322
251,83.35,16,9.863676,32.9016816
252,83.68333333,16,9.870471,32.92434728
253,84.01666667,14,9.891803,32.99550318
254,84.35,17,10.39673,34.67975835
255,84.68333333,16,9.878984,32.95274359
256,85.01666667,16,9.855971,32.87598049
257,85.35,16,9.887039,32.97961218
258,85.68333333,14,9.908194,33.05017767
