FaliureRate,DownTime,AveragePathLength,Error
0,0.18,134.7340451,0.1393356484
0.04166666667,0.13,139.6462306,0.2964324561
0.08333333333,0.1833333333,142.6889058,0.795325096
0.125,0.1733333333,148.0355563,1.007798087
0.1666666667,0.2033333333,161.9147292,2.248652266
0.2083333333,0.1933333333,179.3006236,4.448506031
0.25,0.2166666667,189.9854999,1.476151625
0.2916666667,0.2133333333,203.7651456,2.074630862
0.3333333333,0.24,236.9529974,4.250884771
0.375,0.32,283.015526,7.429398445
0.4166666667,0.5666666667,376.8631611,16.03441573
0.4583333333,0.84,274.0254611,13.83341282
0.5,1,,
0.5416666667,1,,
0.5833333333,1,,
0.625,1,,
0.6666666667,1,,
0.7083333333,1,,
0.75,1,,
0.7916666667,1,,
0.8333333333,1,,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,
