time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
20,0.7379602,-0.08917511,-0.871519,1.832042E-07,-0.05801012,-0.9220471,-0.8169893,-0.1213968,-1.050699,0.8423966,-0.04853063,0.04552863,-0.9116701,-0.05793479,-0.133887,0.9335477,-0.1231416,0.9618577,2.893175E-08,-0.05801015,0.9220474,-0.9919736,-0.1095798,0.7850366
21,0.547452,-0.07181133,-0.8675131,-8.4492E-08,-0.05805598,-0.9227738,-0.6395348,-0.1034614,-1.050607,0.6697673,-0.03068453,0.04803553,-0.7541527,-0.03997644,-0.1353413,0.7815195,-0.1051854,0.9628269,2.522835E-08,-0.05805578,0.9227738,-0.8568767,-0.09197264,0.7820607
22,0.3395275,-0.05788264,-0.8563773,-1.755653E-07,-0.05803334,-0.9224245,-0.4406589,-0.08755678,-1.042571,0.4743895,-0.01552581,0.05699985,-0.5701417,-0.02326308,-0.1296958,0.60177,-0.08899226,0.9694775,-8.768852E-08,-0.05803426,0.922427,-0.690633,-0.07467081,0.7852233
23,0.1095189,-0.04894225,-0.840117,1.027445E-08,-0.05801586,-0.9221369,-0.2159342,-0.07544123,-1.028488,0.2519255,-0.004664178,0.07172833,-0.3555905,-0.009538169,-0.1175241,0.3903594,-0.07634435,0.9824428,1.720388E-07,-0.05801577,0.9221348,-0.4896394,-0.05951673,0.7952935
24,-0.1154992,-0.04710634,-0.8237248,-8.184281E-08,-0.05809176,-0.9233443,0.008011062,-0.07000054,-1.013134,0.02879759,-0.0005929649,0.08893839,-0.1361633,-0.001962108,-0.1018033,0.1726404,-0.07025357,1.000199,-1.28136E-07,-0.05809176,0.9233441,-0.2781907,-0.05007653,0.8111328
25,-0.3379631,-0.05204733,-0.8055051,-7.290282E-09,-0.05800815,-0.9220088,0.2338692,-0.07121313,-0.9939694,-0.1977669,-0.003427684,0.1063301,0.09113504,-0.001044055,-0.08393162,-0.05445164,-0.0707698,1.01649,-2.784992E-08,-0.05800824,0.9220088,-0.05303596,-0.04687442,0.8274297
26,-0.5540633,-0.06373189,-0.7922415,1.553337E-07,-0.05807108,-0.923007,0.4574613,-0.07968219,-0.9787772,-0.4234735,-0.01319698,0.1219278,0.3216928,-0.00733342,-0.06683414,-0.2862054,-0.07859451,1.034172,1.581417E-07,-0.0580709,0.9230065,0.180851,-0.05100942,0.8461658
27,-0.7412333,-0.07946289,-0.7834521,5.505508E-08,-0.05802765,-0.9223282,0.6559384,-0.09332068,-0.9667133,-0.625421,-0.02781207,0.1319585,0.5325929,-0.01949493,-0.05380997,-0.4997455,-0.09177838,1.045288,2.68246E-07,-0.05802805,0.9223285,0.4008484,-0.06141803,0.8599409
28,-0.9006416,-0.09730651,-0.7819744,-1.572652E-07,-0.05802629,-0.9223003,0.8300442,-0.110458,-0.9615068,-0.8042078,-0.04533379,0.1356332,0.7240026,-0.03585061,-0.04652376,-0.695091,-0.108699,1.051102,-7.086783E-09,-0.05802629,0.9223001,0.6065434,-0.07672976,0.8691926
29,-1.022702,-0.1140549,-0.7879337,7.986318E-08,-0.05806595,-0.9229318,0.9691768,-0.1279829,-0.9639568,-0.9489039,-0.0625947,0.1324393,0.884102,-0.05341086,-0.04614326,-0.8601407,-0.1262799,1.050723,-6.134471E-08,-0.05806604,0.9229348,0.7850847,-0.09412826,0.8723981
30,-1.104692,-0.1273973,-0.7986788,7.313496E-09,-0.05801039,-0.9220455,1.070563,-0.1434318,-0.9714434,-1.056725,-0.07732141,0.1225837,1.01009,-0.06986234,-0.05249638,-0.9920928,-0.1420465,1.041913,8.356756E-08,-0.05800976,0.9220437,0.9336865,-0.1112113,0.8672784
31,-1.146982,-0.1357237,-0.8162311,-2.777297E-08,-0.05810423,-0.9235467,1.134035,-0.1550225,-0.9872047,-1.12732,-0.08753901,0.1076768,1.1010
