FaliureRate,DownTime,AveragePathLength,Error
0,0,97.90029719,0.05047121772
0.04166666667,0,98.58209931,0.09951281796
0.08333333333,0.003333333333,99.65788664,0.2008542793
0.125,0.003333333333,101.6306488,0.2962219794
0.1666666667,0.01333333333,102.8303916,0.2642195812
0.2083333333,0.03666666667,104.5382161,0.2059377866
0.25,0.05666666667,110.704801,0.4506412869
0.2916666667,0.06333333333,114.877456,0.7907122295
0.3333333333,0.09666666667,123.679752,2.389504629
0.375,0.24,141.3592561,2.146744703
0.4166666667,0.4966666667,178.4634028,10.06971299
0.4583333333,0.88,172.7294075,8.023126542
0.5,0.9666666667,124.3394951,37.94037589
0.5416666667,0.97,136.658568,4.309074546
0.5833333333,1,,
0.625,1,,
0.6666666667,1,,
0.7083333333,1,,
0.75,1,,
0.7916666667,1,,
0.8333333333,1,,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,
