FaliureRate,DownTime,AveragePathLength,Error
0,0,97.88794064,0.005634797713
0.04166666667,0,98.75728183,0.1385081782
0.08333333333,0,99.77196602,0.1998572039
0.125,0.01,100.9294014,0.2840744077
0.1666666667,0.04,104.7920733,0.3916375932
0.2083333333,0.01666666667,109.8757606,1.248082246
0.25,0.08666666667,116.9201459,0.8348865871
0.2916666667,0.08,116.9940736,0.6636972628
0.3333333333,0.05666666667,137.0750513,3.038497842
0.375,0.18,174.2667615,7.011241149
0.4166666667,0.32,196.1452235,6.817958714
0.4583333333,0.67,185.8805615,8.586488429
0.5,0.9,184.9068674,10.31231337
0.5416666667,0.99,168.4347076,32.57811183
0.5833333333,1,,
0.625,1,,
0.6666666667,1,,
0.7083333333,1,,
0.75,1,,
0.7916666667,1,,
0.8333333333,1,,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,
