NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,31,24.68405
1584,0,2,32,25.24921
1584,0,3,28,20.81617
1584,0,4,1,3.402823E+38
1584,0,5,31,24.84517
1584,0,6,31,24.72437
1584,0,7,1,3.402823E+38
1584,0,8,32,25.26745
1584,0,9,31,24.7416
1584,0,10,1,3.402823E+38
1584,0,11,1,3.402823E+38
1584,0,12,31,24.79427
1584,0,13,1,3.402823E+38
1584,0,14,1,3.402823E+38
1584,0,15,1,3.402823E+38
1584,0,16,1,3.402823E+38
1584,0,17,1,3.402823E+38
1584,0,18,1,3.402823E+38
1584,0,19,1,3.402823E+38
1584,0,20,1,3.402823E+38
1584,0,21,1,3.402823E+38
1584,0,22,1,3.402823E+38
1584,0,23,25,18.17473
1584,0,24,1,3.402823E+38
1584,0,25,1,3.402823E+38
1584,0,26,25,18.13013
1584,0,27,26,18.70486
1584,0,28,1,3.402823E+38
1584,0,29,25,18.10374
1584,0,30,26,18.69753
1584,0,31,1,3.402823E+38
1584,0,32,25,18.09563
1584,0,33,25,18.15905
1584,0,34,25,18.08591
1584,0,35,26,18.68216
1584,0,36,28,20.47815
1584,0,37,25,18.0931
1584,0,38,25,18.12421
1584,0,39,26,18.67153
1584,0,40,25,18.09457
1584,0,41,26,18.66012
1584,0,42,25,18.09105
1584,0,43,28,20.4429
1584,0,44,26,18.66191
1584,0,45,25,18.08064
1584,0,46,28,20.50232
1584,0,47,25,18.09039
1584,0,48,28,20.41237
1584,0,49,26,18.67225
1584,0,50,25,18.09215
1584,0,51,28,20.42816
1584,0,52,25,18.12937
1584,0,53,28,20.37928
1584,0,54,28,20.41695
1584,0,55,27,20.10526
1584,0,56,28,20.39268
1584,0,57,28,20.38597
1584,0,58,28,20.47484
1584,0,59,28,20.45382
1584,0,60,28,20.37804
1584,1,1,32,25.25996
1584,1,2,31,24.68632
1584,1,3,31,24.75776
1584,1,4,32,25.27902
1584,1,5,1,3.402823E+38
1584,1,6,31,24.78264
1584,1,7,1,3.402823E+38
1584,1,8,1,3.402823E+38
1584,1,9,1,3.402823E+38
1584,1,10,1,3.402823E+38
1584,1,11,1,3.402823E+38
1584,1,12,25,18.12652
1584,1,13,1,3.402823E+38
1584,1,14,26,18.69236
1584,1,15,25,18.1156
1584,1,16,25,18.09113
1584,1,17,26,18.67367
1584,1,18,25,18.09944
1584,1,19,25,18.09483
1584,1,20,26,18.66344
1584,1,21,25,18.09359
1584,1,22,25,18.09923
1584,1,23,28,20.51223
1584,1,24,25,18.08636
1584,1,25,25,18.12453
1584,1,26,28,20.49221
1584,1,27,28,20.38248
1584,1,28,25,18.1429
1584,1,29,28,20.44462
1584,1,30,28,20.37599
1584,1,31,28,20.46791
1584,1,32,28,20.44185
1584,1,33,28,20.41531
1584,1,34,28,20.44735
1584,1,35,28,20.46352
1584,1,36,28,20.38058
1584,1,37,28,20.48633
1584,1,38,28,20.41005
1584,1,39,28,20.40942
1584,1,40,27,20.13563
1584,1,41,28,20.3932
1584,1,42,28,20.52766
1584,1,43,28,20.47102
1584,1,44,28,20.40392
1584,1,45,28,20.58306
1584,1,46,28,20.43034
1584,1,47,28,20.47984
1584,1,48,28,20.63996
1584,1,49,28,20.42706
1584,1,50,28,20.52705
1584,1,51,28,20.49562
1584,1,52,28,20.44632
1584,1,53,28,20.53122
1584,1,54,28,20.51886
1584,1,55,28,20.4677
1584,1,56,28,20.50093
1584,1,57,28,20.68464
1584,1,58,28,20.48942
1584,1,59,28,20.48989
1584,1,60,28,20.59198
1584,2,1,31,24.68405
1584,2,2,31,24.82388
1584,2,3,28,20.8663
1584,2,4,1,3.402823E+38
