NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1386,44,0,1
1386,45,0,1
1386,46,0,1
1386,47,0,3
1386,48,0,1
1386,49,0,1
1386,50,0,1
1386,51,0,2
1386,52,0,2
1386,53,0,2
1386,54,0,1
1386,55,0,1
1386,56,0,2
1386,57,0,1
1386,58,0,2
1386,59,0,1
1386,60,0,1
1386,61,0,1
1386,62,0,2
1386,63,0,1
1386,64,0,2
1386,65,0,1
1386,66,0,3
1386,67,0,1
1386,68,0,2
1386,69,0,2
1386,70,0,1
1386,71,0,2
1386,72,0,1
1386,73,0,2
1386,74,0,2
1386,75,0,1
1386,76,0,1
1386,77,0,1
1386,78,0,1
1386,79,0,3
1386,80,0,1
1386,81,0,1
1386,82,0,1
1386,83,0,1
1386,84,0,5
1386,85,0,1
1386,86,0,1
1386,87,0,1
1386,88,0,2
1386,89,0,2
1386,90,0,1
1386,91,0,1
1386,92,0,1
1386,93,0,2
1386,94,0,2
1386,95,0,1
1386,96,0,1
1386,97,0,1
1386,98,0,1
1386,99,0,1
1320,0,0,1
1320,1,0,5
1320,2,0,2
1320,3,0,1
1320,4,0,2
1320,5,0,2
1320,6,0,1
1320,7,0,1
1320,8,0,2
1320,9,0,2
1320,10,0,1
1320,11,0,2
1320,12,0,3
1320,13,0,1
1320,14,0,1
1320,15,0,3
1320,16,0,1
1320,17,0,3
1320,18,0,2
1320,19,0,2
1320,20,0,1
1320,21,0,1
1320,22,0,3
1320,23,0,2
1320,24,0,4
1320,25,0,2
1320,26,0,1
1320,27,0,2
1320,28,0,2
1320,29,0,4
1320,30,0,2
1320,31,0,1
1320,32,0,3
1320,33,0,2
1320,34,0,2
1320,35,0,2
1320,36,0,1
1320,37,0,3
1320,38,0,2
1320,39,0,2
1320,40,0,2
1320,41,0,2
1320,42,0,2
1320,43,0,3
1320,44,0,3
1320,45,0,3
1320,46,0,3
1320,47,0,3
1320,48,0,2
1320,49,0,2
1320,50,0,4
1320,51,0,1
1320,52,0,2
1320,53,0,3
1320,54,0,3
1320,55,0,2
1320,56,0,2
1320,57,0,1
1320,58,0,4
1320,59,0,1
1320,60,0,2
1320,61,0,1
1320,62,0,2
1320,63,0,1
1320,64,0,1
1320,65,0,3
1320,66,0,2
1320,67,0,4
1320,68,0,3
1320,69,0,3
1320,70,0,2
1320,71,0,4
1320,72,0,2
1320,73,0,2
1320,74,0,1
1320,75,0,2
1320,76,0,1
1320,77,0,2
1320,78,0,1
1320,79,0,2
1320,80,0,1
1320,81,0,2
1320,82,0,2
1320,83,0,3
1320,84,0,1
1320,85,0,1
1320,86,0,5
1320,87,0,5
1320,88,0,2
1320,89,0,3
1320,90,0,2
1320,91,0,2
1320,92,0,1
1320,93,0,3
1320,94,0,1
1320,95,0,1
1320,96,0,2
1320,97,0,2
1320,98,0,3
1320,99,0,1
1254,0,0,5
1254,1,0,2
1254,2,0,7
1254,3,0,2
1254,4,0,3
1254,5,0,3
1254,6,0,5
1254,7,0,4
1254,8,0,4
1254,9,0,2
1254,10,0,3
1254,11,0,3
1254,12,0,5
1254,13,0,6
1254,14,0,7
1254,15,0,3
1254,16,0,3
1254,17,0,3
1254,18,0,3
1254,19,0,1
1254,20,0,5
1254,21,0,2
1254,22,0,3
1254,23,0,2
1254,24,0,5
1254,25,0,6
1254,26,0,6
1254,27,0,5
1254,28,0,3
1254,29,0,5
1254,30,0,4
1254,31,0,4
1254,32,0,3
1254,33,0,1
1254,34,0,2
1254,35,0,1
1254,36,0,3
1254,37,0,3
1254,38,0,2
1254,39,0,3
1254,40,0,5
1254,41,0,3
1254,42,0,5
1254,43,0,5
1254,44,0,1
1254,45,0,4
1254,46,0,5
1254,47,0,4
1254,48,0,1
1254,49,0,4
1254,50,0,2
1254,51,0,4
1254,52,0,4
1254,53,0,3
1254,54,0,5
1254,55,0,4
1254,56,0,3
1254,57,0,3
1254,58,0,5
1254,59,0,5
1254,60,0,3
1254,61,0,3
1254,62,0,3
1254,63,0,6
1254,64,0,1
1254,65,0,4
1254,66,0,5
1254,67,0,1
1254,68,0,5
1254,69,0,1
1254,70,0,2
1254,71,0,5
1254,72,0,2
1254,73,0,3
1254,74,0,6
1254,75,0,2
1254,76,0,3
1254,77,0,4
1254,78,0,1
1254,79,0,2
1254,80,0,5
1254,81,0,4
1254,82,0,6
1254,83,0,2
1254,84,0,5
1254,85,0,1
1254,86,0,5
1254,87,0,8
1254,88,0,3
1254,89,0,5
1254,90,0,8
1254,91,0,1
1254,92,0,7
1254,93,0,2
1254,94,0,4
1254,95,0,3
1254,96,0,3
1254,97,0,7
1254,98,0,4
1254,99,0,4
1188,0,0,6
1188,1,0,4
1188,2,0,7
1188,3,0,6
1188,4,0,7
1188,5,0,3
1188,6,0,5
1188,7,0,7
1188,8,0,2
1188,9,0,3
1188,10,0,10
1188,11,0,5
1188,12,0,2
1188,13,0,6
1188,14,0,8
1188,15,0,6
1188,16,0,7
1188,17,0,7
1188,18,0,11
1188,19,0,10
1188,20,0,6
1188,21,0,5
1188,22,0,9
1188,23,0,8
1188,24,0,7
1188,25,0,9
1188,26,0,7
1188,27,0,13
1188,28,0,7
1188,29,0,6
1188,30,0,6
1188,31,0,1
1188,32,0,4
1188,33,0,8
1188,34,0,6
1188,35,0,6
1188,36,0,7
1188,37,0,4
1188,38,0,7
1188,39,0,9
1188,40,0,7
1188,41,0,5
1188,42,0,8
1188,43,0,6
1188,44,0,7
1188,45,0,4
1188,46,0,8
1188,47,0,6
1188,48,0,5
1188,49,0,5
1188,50,0,12
1188,51,0,10
1188,52,0,7
1188,53,0,5
1188,54,0,6
1188,55,0,3
1188,56,0,10
1188,57,0,6
1188,58,0,9
1188,59,0,9
1188,60,0,8
1188,61,0,8
1188,62,0,5
1188,63,0,11
1188,64,0,8
1188,65,0,7
1188,66,0,10
1188,67,0,7
1188,68,0,5
1188,69,0,8
1188,70,0,6
1188,71,0,4
1188,72,0,8
1188,73,0,10
1188,74,0,10
1188,75,0,8
1188,76,0,6
1188,77,0,10
1188,78,0,4
1188,79,0,6
1188,80,0,5
1188,81,0,8
1188,82,0,10
1188,83,0,7
1188,84,0,5
1188,85,0,6
1188,86,0,10
1188,87,0,6
1188,88,0,5
1188,89,0,6
1188,90,0,5
1188,91,0,8
1188,92,0,5
1188,93,0,6
1188,94,0,5
1188,95,0,5
1188,96,0,5
1188,97,0,11
1188,98,0,8
1188,99,0,8
1122,0,0,12
1122,1,0,12
1122,2,0,10
1122,3,0,10
1122,4,0,12
1122,5,0,10
1122,6,0,12
1122,7,0,5
1122,8,0,9
1122,9,0,11
1122,10,0,13
1122,11,0,12
1122,12,0,9
1122,13,0,18
1122,14,0,9
1122,15,0,15
1122,16,0,12
1122,17,0,7
1122,18,0,3
1122,19,0,14
1122,20,0,10
1122,21,0,15
1122,22,0,11
1122,23,0,9
1122,24,0,13
1122,25,0,7
1122,26,0,15
1122,27,0,11
1122,28,0,13
1122,29,0,9
1122,30,0,13
1122,31,0,14
1122,32,0,18
1122,33,0,9
1122,34,0,10
1122,35,0,11
1122,36,0,6
1122,37,0,14
1122,38,0,13
1122,39,0,11
1122,40,0,12
1122,41,0,8
1122,42,0,11
1122,43,0,8
1122,44,0,10
1122,45,0,6
1122,46,0,8
1122,47,0,16
1122,48,0,7
1122,49,0,13
1122,50,0,14
1122,51,0,15
1122,52,0,8
1122,53,0,15
1122,54,0,13
1122,55,0,10
1122,56,0,17
1122,57,0,15
1122,58,0,11
1122,59,0,6
1122,60,0,6
1122,61,0,12
1122,62,0,9
1122,63,0,13
1122,64,0,11
1122,65,0,8
1122,66,0,14
1122,67,0,13
1122,68,0,11
1122,69,0,15
1122,70,0,18
1122,71,0,15
1122,72,0,13
1122,73,0,17
1122,74,0,15
1122,75,0,9
1122,76,0,12
1122,77,0,16
1122,78,0,9
1122,79,0,8
1122,80,0,10
1122,81,0,11
1122,82,0,12
1122,83,0,8
1122,84,0,13
1122,85,0,7
1122,86,0,3
1122,87,0,6
1122,88,0,12
1122,89,0,9
1122,90,0,9
1122,91,0,12
1122,92,0,18
1122,93,0,9
1122,94,0,13
1122,95,0,3
1122,96,0,7
1122,97,0,7
1122,98,0,10
1122,99,0,14
1056,0,0,23
1056,1,0,12
1056,2,0,18
1056,3,0,22
1056,4,0,16
1056,5,0,17
1056,6,0,15
1056,7,0,20
1056,8,0,18
1056,9,0,20
1056,10,0,17
1056,11,0,20
1056,12,0,16
1056,13,0,25
1056,14,0,15
1056,15,0,26
1056,16,0,16
1056,17,0,18
1056,18,0,23
1056,19,0,14
1056,20,0,31
1056,21,0,12
1056,22,0,24
1056,23,0,27
1056,24,0,13
1056,25,0,17
1056,26,0,20
1056,27,0,18
1056,28,0,16
1056,29,0,15
1056,30,0,21
1056,31,0,26
1056,32,0,12
1056,33,0,14
1056,34,0,20
1056,35,0,8
1056,36,0,16
1056,37,0,19
1056,38,0,18
1056,39,0,13
1056,40,0,19
1056,41,0,16
1056,42,0,17
1056,43,0,14
1056,44,0,24
1056,45,0,18
1056,46,0,16
1056,47,0,13
1056,48,0,13
1056,49,0,23
1056,50,0,24
1056,51,0,21
1056,52,0,17
1056,53,0,16
1056,54,0,20
1056,55,0,17
1056,56,0,20
1056,57,0,20
1056,58,0,23
1056,59,0,16
1056,60,0,26
1056,61,0,22
1056,62,0,15
1056,63,0,18
1056,64,0,25
1056,65,0,15
1056,66,0,24
1056,67,0,26
1056,68,0,24
1056,69,0,18
1056,70,0,19
1056,71,0,19
1056,72,0,13
1056,73,0,24
1056,74,0,18
1056,75,0,15
1056,76,0,18
1056,77,0,12
1056,78,0,18
1056,79,0,16
1056,80,0,16
1056,81,0,17
1056,82,0,19
1056,83,0,23
1056,84,0,24
1056,85,0,18
1056,86,0,9
1056,87,0,16
1056,88,0,28
1056,89,0,20
1056,90,0,16
1056,91,0,24
1056,92,0,12
1056,93,0,14
1056,94,0,23
1056,95,0,21
1056,96,0,19
1056,97,0,21
1056,98,0,15
1056,99,0,23
990,0,0,33
990,1,0,36
990,2,0,24
990,3,0,33
990,4,0,33
990,5,0,28
990,6,0,34
990,7,0,29
990,8,0,36
990,9,0,33
990,10,0,25
990,11,0,28
990,12,0,37
990,13,0,27
990,14,0,30
990,15,0,23
990,16,0,33
990,17,0,47
990,18,0,26
990,19,0,20
990,20,0,42
990,21,0,31
990,22,0,31
990,23,0,30
990,24,0,23
990,25,0,29
990,26,0,31
990,27,0,37
990,28,0,36
990,29,0,31
990,30,0,38
990,31,0,35
990,32,0,27
990,33,0,29
990,34,0,31
990,35,0,20
990,36,0,32
990,37,0,35
990,38,0,33
990,39,0,35
990,40,0,28
990,41,0,35
990,42,0,30
990,43,0,33
990,44,0,33
990,45,0,35
990,46,0,31
990,47,0,30
990,48,0,27
990,49,0,27
990,50,0,37
990,51,0,29
990,52,0,36
990,53,0,26
990,54,0,31
990,55,0,33
990,56,0,33
990,57,0,31
990,58,0,37
990,59,0,20
990,60,0,29
990,61,0,34
990,62,0,38
990,63,0,18
990,64,0,30
990,65,0,38
990,66,0,33
990,67,0,32
990,68,0,34
990,69,0,37
990,70,0,27
990,71,0,26
990,72,0,22
990,73,0,28
990,74,0,30
990,75,0,30
990,76,0,32
990,77,0,25
990,78,0,27
990,79,0,37
990,80,0,37
990,81,0,26
990,82,0,41
990,83,0,40
990,84,0,33
990,85,0,31
990,86,0,42
990,87,0,34
990,88,0,37
990,89,0,32
990,90,0,36
990,91,0,32
990,92,0,32
990,93,0,32
990,94,0,32
990,95,0,27
990,96,0,27
990,97,0,38
990,98,0,25
990,99,0,43
924,0,0,51
924,1,0,44
924,2,0,56
924,3,0,40
924,4,0,45
924,5,0,28
924,6,0,58
924,7,0,47
924,8,0,42
924,9,0,48
924,10,0,50
924,11,0,53
924,12,0,45
924,13,0,59
924,14,0,36
924,15,0,54
924,16,0,57
924,17,0,51
924,18,0,45
924,19,0,56
924,20,0,54
924,21,0,49
924,22,0,53
924,23,0,49
924,24,0,47
924,25,0,46
924,26,0,49
924,27,0,57
924,28,0,59
924,29,0,42
924,30,0,58
924,31,0,57
924,32,0,39
924,33,0,42
924,34,0,51
924,35,0,51
924,36,0,52
924,37,0,41
924,38,0,52
924,39,0,55
924,40,0,67
924,41,0,55
924,42,0,46
924,43,0,57
924,44,0,50
924,45,0,51
924,46,0,45
924,47,0,54
924,48,0,52
924,49,0,47
924,50,0,42
924,51,0,43
924,52,0,43
924,53,0,37
924,54,0,44
924,55,0,46
924,56,0,44
924,57,0,41
924,58,0,54
924,59,0,56
924,60,0,44
924,61,0,46
924,62,0,54
924,63,0,50
924,64,0,46
924,65,0,62
924,66,0,45
924,67,0,48
924,68,0,68
924,69,0,50
924,70,0,46
924,71,0,56
924,72,0,52
924,73,0,64
924,74,0,54
924,75,0,61
924,76,0,54
924,77,0,51
924,78,0,47
924,79,0,44
924,80,0,50
924,81,0,54
924,82,0,44
924,83,0,36
924,84,0,41
924,85,0,49
924,86,0,56
924,87,0,58
924,88,0,42
924,89,0,45
924,90,0,46
924,91,0,40
924,92,0,49
924,93,0,58
924,94,0,55
924,95,0,42
924,96,0,48
924,97,0,46
924,98,0,46
924,99,0,40
858,0,0,64
858,1,0,71
858,2,0,77
858,3,0,87
858,4,0,71
858,5,0,73
858,6,0,82
858,7,0,68
858,8,0,73
858,9,0,81
858,10,0,80
858,11,0,88
858,12,0,84
858,13,0,67
858,14,0,85
858,15,0,81
858,16,0,72
858,17,0,74
858,18,0,87
858,19,0,76
858,20,0,70
858,21,0,78
858,22,0,68
858,23,0,84
858,24,0,63
858,25,0,78
858,26,0,60
858,27,0,68
858,28,0,81
858,29,0,76
858,30,0,91
858,31,0,63
858,32,0,68
858,33,0,81
858,34,0,77
858,35,0,84
858,36,0,75
858,37,0,76
858,38,0,85
858,39,0,65
858,40,0,73
858,41,0,82
858,42,0,72
858,43,0,78
858,44,0,76
858,45,0,83
858,46,0,71
858,47,0,68
858,48,0,63
858,49,0,81
858,50,0,77
858,51,0,70
858,52,0,78
858,53,0,74
858,54,0,83
858,55,0,78
858,56,0,88
858,57,0,83
858,58,0,70
858,59,0,69
858,60,0,94
858,61,0,82
858,62,0,87
858,63,0,79
858,64,0,82
858,65,0,68
858,66,0,79
858,67,0,76
858,68,0,76
858,69,0,77
858,70,0,78
858,71,0,76
858,72,0,74
858,73,0,77
