NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,21,14.47685
1584,0,2,23,14.57746
1584,0,3,21,14.52079
1584,0,4,21,14.49947
1584,0,5,22,15.0288
1584,0,6,23,14.51721
1584,0,7,22,14.99508
1584,0,8,23,14.52975
1584,0,9,21,14.5161
1584,0,10,21,14.51152
1584,0,11,21,14.5297
1584,0,12,21,14.49746
1584,0,13,23,14.54585
1584,0,14,21,14.81403
1584,0,15,23,14.54618
1584,0,16,20,14.49037
1584,0,17,21,14.53044
1584,0,18,20,14.54271
1584,0,19,21,14.49252
1584,0,20,21,14.58996
1584,0,21,21,14.48872
1584,0,22,23,14.60516
1584,0,23,21,14.93121
1584,0,24,23,14.571
1584,0,25,21,15.01689
1584,0,26,23,14.55023
1584,0,27,23,14.63037
1584,0,28,23,14.62379
1584,0,29,23,14.60234
1584,0,30,21,14.91484
1584,0,31,23,14.5476
1584,0,32,21,14.99664
1584,0,33,23,14.52435
1584,0,34,21,15.08908
1584,0,35,23,14.51179
1584,0,36,24,15.12012
1584,0,37,23,14.50211
1584,0,38,24,15.11567
1584,0,39,23,14.4962
1584,0,40,24,15.11983
1584,0,41,23,14.49673
1584,0,42,24,15.13171
1584,0,43,23,14.5085
1584,0,44,24,15.13039
1584,0,45,23,14.50629
1584,0,46,24,15.13729
1584,0,47,23,14.51958
1584,0,48,21,15.07761
1584,0,49,23,14.54427
1584,0,50,21,15.07089
1584,0,51,23,14.54719
1584,0,52,21,14.97355
1584,0,53,23,14.57677
1584,0,54,23,14.54908
1584,0,55,23,14.60742
1584,0,56,23,14.53352
1584,0,57,22,15.1051
1584,0,58,23,14.51414
1584,0,59,21,14.96558
1584,0,60,23,14.52006
1584,1,1,21,14.52392
1584,1,2,23,14.51185
1584,1,3,21,14.93091
1584,1,4,23,14.51911
1584,1,5,23,14.5974
1584,1,6,21,14.51192
1584,1,7,21,14.51087
1584,1,8,21,14.50052
1584,1,9,21,14.52617
1584,1,10,21,14.85588
1584,1,11,23,14.52483
1584,1,12,20,14.85962
1584,1,13,23,14.53888
1584,1,14,21,14.55508
1584,1,15,21,14.49934
1584,1,16,21,14.56222
1584,1,17,21,14.48623
1584,1,18,23,14.56394
1584,1,19,21,14.87946
1584,1,20,23,14.57407
1584,1,21,21,14.95985
1584,1,22,23,14.57884
1584,1,23,21,14.62321
1584,1,24,23,14.59109
1584,1,25,23,14.61659
1584,1,26,21,14.79487
1584,1,27,23,14.59378
1584,1,28,21,14.94106
1584,1,29,23,14.5479
1584,1,30,21,15.12761
1584,1,31,23,14.51628
1584,1,32,23,14.62526
1584,1,33,23,14.52382
1584,1,34,23,14.56896
1584,1,35,23,14.53821
1584,1,36,23,14.5179
1584,1,37,21,15.04021
1584,1,38,23,14.50083
1584,1,39,24,15.1148
1584,1,40,23,14.49525
1584,1,41,24,15.12455
1584,1,42,23,14.49808
1584,1,43,24,15.1261
1584,1,44,23,14.49937
1584,1,45,24,15.12815
1584,1,46,23,14.49904
1584,1,47,24,15.13278
1584,1,48,23,14.5025
1584,1,49,24,15.13784
1584,1,50,23,14.51647
1584,1,51,24,15.14466
1584,1,52,23,14.52075
1584,1,53,22,15.11482
1584,1,54,23,14.52449
1584,1,55,22,15.10162
1584,1,56,23,14.52834
1584,1,57,22,15.09182
1584,1,58,23,14.51565
1584,1,59,21,15.03308
1584,1,60,23,14.5269
1584,2,1,21,14.52118
1584,2,2,23,14.51159
1584,2,3,21,14.9348
1584,2,4,23,14.51856
1584,2,5,21,14.50194
1584,2,6,21,14.51242
1584,2,7,21,14.52154
1584,2,8,21,14.49921
1584,2,9,23,14.5193
1584,2,10,20,14.85707
1584,2,11,21,14.51315
1584,2,12,21,14.53639
1584,2,13,21,14.49009
1584,2,14,23,14.55855
1584,2,15,21,14.8062
1584,2,16,23,14.55272
1584,2,17,20,14.87154
1584,2,18,21,14.53799
1584,2,19,20,14.54923
1584,2,20,21,14.499
1584,2,21,21,14.60483
1584,2,22,23,14.60566
1584,2,23,23,14.59948
1584,2,24,21,14.85019
1584,2,25,23,14.57653
1584,2,26,21,15.01814
1584,2,27,23,14.54375
1584,2,28,21,15.11476
1584,2,29,23,14.52828
1584,2,30,23,14.62664
1584,2,31,23,14.52968
1584,2,32,23,14.56844
1584,2,33,21,14.93526
1584,2,34,23,14.54358
1584,2,35,21,15.02223
1584,2,36,23,14.50708
1584,2,37,24,15.11625
1584,2,38,23,14.49933
1584,2,39,23,14.58574
1584,2,40,23,14.51088
1584,2,41,23,14.55774
1584,2,42,23,14.53165
1584,2,43,23,14.53433
1584,2,44,23,14.52646
1584,2,45,23,14.53827
1584,2,46,23,14.54799
1584,2,47,21,15.06537
1584,2,48,23,14.54813
1584,2,49,21,14.97078
1584,2,50,23,14.55083
1584,2,51,21,14.96195
1584,2,52,23,14.58132
1584,2,53,23,14.54738
1584,2,54,23,14.57943
1584,2,55,23,14.54291
1584,2,56,23,14.59266
1584,2,57,23,14.54171
1584,2,58,23,14.57177
1584,2,59,23,14.51691
1584,2,60,23,14.58137
1584,3,1,21,14.50987
1584,3,2,23,14.51069
1584,3,3,22,14.98576
1584,3,4,23,14.53009
1584,3,5,21,14.50446
1584,3,6,21,14.50624
1584,3,7,21,14.5189
1584,3,8,22,15.00797
1584,3,9,23,14.52365
1584,3,10,21,14.53006
1584,3,11,21,14.51723
1584,3,12,21,14.53679
1584,3,13,21,14.50354
1584,3,14,21,14.55658
1584,3,15,21,14.48501
1584,3,16,23,14.55625
1584,3,17,20,14.87237
1584,3,18,21,14.54786
1584,3,19,20,14.53374
1584,3,20,21,14.52738
1584,3,21,20,14.59367
1584,3,22,23,14.58286
1584,3,23,23,14.60563
1584,3,24,21,14.82904
1584,3,25,23,14.58213
1584,3,26,21,14.90308
1584,3,27,23,14.54715
1584,3,28,21,15.08148
1584,3,29,23,14.52915
1584,3,30,23,14.63864
1584,3,31,23,14.51716
1584,3,32,23,14.57677
1584,3,33,23,14.53435
1584,3,34,23,14.55213
1584,3,35,21,14.99607
1584,3,36,23,14.52682
1584,3,37,24,15.11549
1584,3,38,23,14.49685
1584,3,39,24,15.13299
1584,3,40,23,14.50603
1584,3,41,24,15.13031
1584,3,42,23,14.50636
1584,3,43,23,14.54196
1584,3,44,23,14.54517
1584,3,45,23,14.52093
1584,3,46,23,14.57297
1584,3,47,23,14.50228
1584,3,48,24,15.13804
1584,3,49,23,14.51265
1584,3,50,21,15.07908
1584,3,51,23,14.54363
1584,3,52,23,14.55113
1584,3,53,23,14.60235
1584,3,54,23,14.53508
1584,3,55,23,14.61976
1584,3,56,23,14.51686
1584,3,57,21,14.61513
1584,3,58,23,14.5033
1584,3,59,22,15.05293
1584,3,60,23,14.48908
1584,4,1,21,14.52815
1584,4,2,23,14.56813
1584,4,3,23,14.52389
1584,4,4,22,15.01079
1584,4,5,21,14.50246
1584,4,6,21,14.51047
1584,4,7,21,14.50737
1584,4,8,21,14.50532
1584,4,9,21,14.52561
1584,4,10,21,14.79934
1584,4,11,23,14.52127
1584,4,12,21,14.86343
1584,4,13,23,14.52834
1584,4,14,21,14.84959
1584,4,15,23,14.53606
1584,4,16,20,14.86329
1584,4,17,23,14.54429
1584,4,18,20,14.86862
1584,4,19,23,14.5485
1584,4,20,20,14.87554
1584,4,21,23,14.55732
1584,4,22,21,14.97799
1584,4,23,21,14.5135
1584,4,24,21,14.60707
1584,4,25,23,14.59039
1584,4,26,23,14.59531
1584,4,27,21,14.86751
1584,4,28,23,14.57267
1584,4,29,21,15.04081
1584,4,30,23,14.54174
1584,4,31,20,14.64995
1584,4,32,23,14.52836
1584,4,33,23,14.5891
1584,4,34,21,14.87488
1584,4,35,23,14.56262
1584,4,36,21,15.03658
1584,4,37,23,14.51827
1584,4,38,24,15.11933
1584,4,39,23,14.50516
1584,4,40,24,15.13065
1584,4,41,23,14.50247
1584,4,42,23,14.57494
1584,4,43,23,14.54185
1584,4,44,23,14.52201
1584,4,45,23,14.57144
1584,4,46,23,14.49832
1584,4,47,24,15.12843
1584,4,48,23,14.49846
1584,4,49,24,15.13211
1584,4,50,23,14.51099
1584,4,51,21,15.13091
1584,4,52,23,14.51715
1584,4,53,21,15.1265
1584,4,54,23,14.53391
1584,4,55,22,15.11281
1584,4,56,23,14.55754
1584,4,57,21,15.02329
1584,4,58,23,14.54393
1584,4,59,21,14.92968
1584,4,60,23,14.5287
1518,0,1,21,14.54298
1518,0,2,21,14.63157
1518,0,3,22,15.01079
1518,0,4,23,14.51191
1518,0,5,22,14.97925
1518,0,6,23,14.53829
1518,0,7,21,14.51463
1518,0,8,21,14.52723
1518,0,9,21,14.51552
1518,0,10,21,14.49542
1518,0,11,21,14.53373
1518,0,12,21,14.84267
1518,0,13,21,14.54176
1518,0,14,21,14.56091
1518,0,15,23,14.57796
1518,0,16,23,14.55393
1518,0,17,20,14.87173
1518,0,18,21,14.54159
1518,0,19,21,14.5927
1518,0,20,21,14.50085
1518,0,21,23,14.60601
1518,0,22,24,15.21075
1518,0,23,23,14.58487
1518,0,24,21,15.0125
1518,0,25,23,14.56173
1518,0,26,23,14.64497
1518,0,27,21,14.92185
1518,0,28,23,14.57718
1518,0,29,21,14.99726
1518,0,30,23,14.51742
1518,0,31,23,14.60719
1518,0,32,23,14.51754
1518,0,33,23,14.55412
1518,0,34,21,14.99058
1518,0,35,23,14.51097
1518,0,36,24,15.12031
1518,0,37,23,14.50629
1518,0,38,23,14.53221
1518,0,39,23,14.55053
1518,0,40,23,14.50255
1518,0,41,24,15.12764
1518,0,42,23,14.51263
1518,0,43,24,15.14439
1518,0,44,23,14.55752
1518,0,45,23,14.50533
1518,0,46,24,15.14233
1518,0,47,23,14.5271
1518,0,48,22,15.13435
1518,0,49,23,14.57853
1518,0,50,23,14.54617
1518,0,51,23,14.65245
1518,0,52,23,14.52456
1518,0,53,24,15.14221
1518,0,54,23,14.54262
1518,0,55,24,15.18151
1518,0,56,23,14.56317
1518,0,57,21,14.95413
1518,0,58,21,14.59961
1518,0,59,23,14.68094
1518,0,60,21,14.59063
1518,1,1,21,14.52815
1518,1,2,23,14.53945
1518,1,3,21,14.53043
1518,1,4,21,14.49487
1518,1,5,21,14.51352
1518,1,6,23,14.52134
1518,1,7,22,15.02786
1518,1,8,23,14.52017
1518,1,9,22,14.99013
1518,1,10,23,14.5214
1518,1,11,21,14.86162
1518,1,12,23,14.52485
1518,1,13,22,15.03254
1518,1,14,21,14.51302
1518,1,15,21,14.55214
1518,1,16,21,14.80435
1518,1,17,23,14.54791
1518,1,18,20,14.53514
1518,1,19,21,14.51559
1518,1,20,21,14.58974
1518,1,21,21,14.48973
1518,1,22,23,14.59321
1518,1,23,21,15.01077
1518,1,24,23,14.58724
1518,1,25,23,14.65127
1518,1,26,23,14.65024
1518,1,27,23,14.67402
1518,1,28,21,14.93941
1518,1,29,23,14.70734
1518,1,30,21,15.18473
1518,1,31,23,14.76543
1518,1,32,23,14.90768
1518,1,33,23,14.86861
1518,1,34,23,15.11786
1518,1,35,21,15.45303
1518,1,36,22,16.0408
1518,1,37,25,15.8489
1518,1,38,21,14.8905
1518,1,39,21,15.40454
1518,1,40,23,15.73131
1518,1,41,21,14.86374
1518,1,42,21,15.20489
1518,1,43,21,14.91343
1518,1,44,21,15.41336
1518,1,45,21,14.97217
1518,1,46,21,15.42054
1518,1,47,23,14.76681
1518,1,48,21,15.30086
1518,1,49,23,14.61695
1518,1,50,21,15.07692
1518,1,51,23,14.55731
1518,1,52,21,14.97822
1518,1,53,23,14.57201
1518,1,54,21,14.97617
1518,1,55,23,14.57701
1518,1,56,23,14.85897
1518,1,57,23,14.60785
1518,1,58,22,14.99401
1518,1,59,23,14.65361
1518,1,60,23,14.81815
1518,2,1,21,14.52815
1518,2,2,21,14.68669
1518,2,3,22,15.01008
1518,2,4,21,14.55431
1518,2,5,21,14.77984
1518,2,6,21,14.50345
1518,2,7,21,14.80755
1518,2,8,21,14.59721
1518,2,9,23,14.53125
1518,2,10,21,14.54383
1518,2,11,23,14.56238
1518,2,12,21,14.5415
1518,2,13,21,14.81328
1518,2,14,23,14.54367
1518,2,15,20,14.48992
1518,2,16,21,14.50733
1518,2,17,21,14.57496
1518,2,18,21,14.48424
1518,2,19,23,14.58064
1518,2,20,21,15.02456
1518,2,21,21,14.78422
1518,2,22,23,14.62893
1518,2,23,21,15.33765
1518,2,24,23,14.60728
1518,2,25,24,15.15175
1518,2,26,23,14.53925
1518,2,27,23,14.63798
1518,2,28,21,14.83328
1518,2,29,23,14.55229
1518,2,30,21,14.98346
1518,2,31,23,14.51363
1518,2,32,23,14.619
1518,2,33,23,14.52547
1518,2,34,23,14.5292
1518,2,35,24,15.11558
1518,2,36,23,14.49847
1518,2,37,24,15.12876
1518,2,38,23,14.50251
1518,2,39,23,14.54307
1518,2,40,23,14.57776
1518,2,41,23,14.49772
1518,2,42,22,15.44072
1518,2,43,21,15.05447
1518,2,44,23,15.00099
1518,2,45,23,15.00642
1518,2,46,23,14.86401
1518,2,47,24,15.44673
1518,2,48,23,14.77971
1518,2,49,24,15.36112
1518,2,50,23,14.73944
1518,2,51,23,14.64017
1518,2,52,24,15.20696
1518,2,53,23,14.5561
1518,2,54,21,14.96073
1518,2,55,23,14.54997
1518,2,56,23,14.50855
1518,2,57,23,14.60494
1518,2,58,23,14.48136
1518,2,59,24,15.09697
1518,2,60,23,14.5014
1518,3,1,23,14.62181
1518,3,2,21,14.49972
1518,3,3,21,14.53879
1518,3,4,22,14.99722
1518,3,5,23,14.52519
1518,3,6,23,14.60003
1518,3,7,23,14.56272
1518,3,8,23,14.5216
1518,3,9,23,14.62244
1518,3,10,23,14.55644
1518,3,11,21,14.56541
1518,3,12,23,14.6222
1518,3,13,21,14.63828
1518,3,14,21,14.49508
1518,3,15,21,14.69344
1518,3,16,21,14.48916
1518,3,17,21,14.83309
1518,3,18,21,15.15547
1518,3,19,21,14.60125
1518,3,20,20,14.87643
1518,3,21,21,14.56951
1518,3,22,20,14.60833
1518,3,23,23,14.67434
1518,3,24,23,14.76035
1518,3,25,21,15.1531
1518,3,26,23,14.80396
1518,3,27,21,15.28337
1518,3,28,21,15.05407
1518,3,29,23,14.98658
1518,3,30,24,15.60777
1518,3,31,24,15.73151
1518,3,32,21,15.80077
1518,3,33,23,14.85256
1518,3,34,22,15.48201
1518,3,35,23,14.95885
1518,3,36,21,15.27333
1518,3,37,22,15.48002
1518,3,38,21,15.10239
1518,3,39,22,15.36632
1518,3,40,23,14.50751
1518,3,41,23,14.52971
1518,3,42,23,14.55371
1518,3,43,23,14.50181
1518,3,44,24,15.12881
1518,3,45,23,14.50317
1518,3,46,24,15.14951
1518,3,47,23,14.56414
1518,3,48,23,14.50389
1518,3,49,24,15.13963
1518,3,50,23,14.51804
1518,3,51,21,15.07736
1518,3,52,23,14.6133
1518,3,53,23,14.5487
1518,3,54,24,15.15116
1518,3,55,23,14.52827
1518,3,56,22,15.03272
1518,3,57,23,14.54411
1518,3,58,23,14.51689
1518,3,59,21,14.59553
1518,3,60,23,14.48682
1518,4,1,22,15.02154
1518,4,2,23,14.51036
1518,4,3,22,15.03971
1518,4,4,23,14.53574
1518,4,5,23,14.61883
1518,4,6,23,14.54978
1518,4,7,21,14.55993
1518,4,8,21,14.51495
1518,4,9,21,14.5186
1518,4,10,21,14.49901
1518,4,11,21,14.52828
1518,4,12,21,14.49064
1518,4,13,23,14.54779
1518,4,14,22,15.04258
1518,4,15,23,14.56145
1518,4,16,22,15.02415
1518,4,17,23,14.55454
1518,4,18,21,14.86138
1518,4,19,23,14.57479
1518,4,20,21,14.50725
1518,4,21,21,14.59268
1518,4,22,21,14.52511
1518,4,23,21,14.93019
1518,4,24,23,14.60702
1518,4,25,24,15.21184
1518,4,26,23,14.57195
1518,4,27,21,14.64605
1518,4,28,23,14.60124
1518,4,29,23,14.6372
1518,4,30,24,15.16873
1518,4,31,23,14.55435
1518,4,32,24,15.13124
1518,4,33,23,14.51758
1518,4,34,23,14.6195
1518,4,35,21,14.96398
1518,4,36,23,14.55096
1518,4,37,21,15.08492
1518,4,38,23,14.50969
1518,4,39,24,15.12205
1518,4,40,23,14.50901
1518,4,41,23,14.52823
1518,4,42,24,15.11928
1518,4,43,23,14.50109
1518,4,44,24,15.12405
1518,4,45,23,14.502
1518,4,46,21,15.1279
1518,4,47,23,14.57627
1518,4,48,23,14.53167
1518,4,49,24,15.13987
1518,4,50,23,14.51778
1518,4,51,22,15.10484
1518,4,52,23,14.55886
1518,4,53,22,15.68163
1518,4,54,21,15.35037
1518,4,55,23,15.04597
1518,4,56,23,15.06323
1518,4,57,23,15.01273
1518,4,58,23,14.97656
1518,4,59,21,14.9639
1518,4,60,21,14.80621
1452,0,1,21,14.63757
1452,0,2,21,14.52221
1452,0,3,24,15.18506
1452,0,4,23,14.53998
1452,0,5,23,14.57167
1452,0,6,21,14.53791
1452,0,7,23,14.53158
1452,0,8,21,15.03855
1452,0,9,23,14.51979
1452,0,10,21,14.54495
1452,0,11,21,14.53221
1452,0,12,21,14.58963
1452,0,13,23,14.63665
1452,0,14,23,14.73635
1452,0,15,22,15.26548
1452,0,16,21,14.5604
1452,0,17,23,14.90122
1452,0,18,21,15.58503
1452,0,19,23,16.01134
1452,0,20,22,15.79463
1452,0,21,21,15.64886
1452,0,22,23,14.89407
1452,0,23,21,15.41294
1452,0,24,21,15.15627
1452,0,25,24,15.66821
1452,0,26,22,15.84751
1452,0,27,21,15.34348
1452,0,28,22,15.55374
1452,0,29,23,14.53656
1452,0,30,23,14.57635
1452,0,31,21,15.07015
1452,0,32,21,15.07643
1452,0,33,23,15.08515
1452,0,34,23,14.95921
1452,0,35,21,14.80551
1452,0,36,21,15.19715
1452,0,37,23,14.80148
