NumOfSatsInConstellation,RepetitionNumber,SampleNumber,PathLengthHops,PathLengthDist
1584,0,1,12,7.09639
1584,0,2,11,6.665731
1584,0,3,12,7.106333
1584,0,4,11,6.666636
1584,0,5,12,7.116465
1584,0,6,9,6.9648
1584,0,7,11,6.777389
1584,0,8,9,7.085964
1584,0,9,11,6.722197
1584,0,10,12,7.1458
1584,0,11,10,7.178362
1584,0,12,12,7.14756
1584,0,13,9,6.994796
1584,0,14,12,7.136215
1584,0,15,10,7.209785
1584,0,16,12,7.127149
1584,0,17,10,7.235572
1584,0,18,12,7.120394
1584,0,19,11,6.728947
1584,0,20,9,7.121353
1584,0,21,12,7.103264
1584,0,22,11,6.66411
1584,0,23,12,7.155648
1584,0,24,11,6.719907
1584,0,25,12,7.158113
1584,0,26,11,6.950991
1584,0,27,12,7.162953
1584,0,28,12,7.080571
1584,0,29,12,7.168644
1584,0,30,12,7.061935
1584,0,31,11,6.619488
1584,0,32,12,7.052216
1584,0,33,12,7.142364
1584,0,34,11,6.893519
1584,0,35,12,7.078643
1584,0,36,11,6.635051
1584,0,37,12,7.055194
1584,0,38,11,6.606211
1584,0,39,12,7.034368
1584,0,40,11,6.604361
1584,0,41,12,7.021587
1584,0,42,11,6.610819
1584,0,43,12,7.026906
1584,0,44,11,6.620825
1584,0,45,11,6.813694
1584,0,46,12,7.078487
1584,0,47,11,6.607629
1584,0,48,10,6.886237
1584,0,49,11,6.606845
1584,0,50,10,6.927855
1584,0,51,11,6.61074
1584,0,52,10,6.960809
1584,0,53,11,6.614196
1584,0,54,11,6.795224
1584,0,55,11,6.61994
1584,0,56,11,6.6366
1584,0,57,10,6.917683
1584,0,58,11,6.619087
1584,0,59,10,6.935853
1584,0,60,11,6.6178
1584,1,1,11,6.790144
1584,1,2,9,6.970022
1584,1,3,11,6.773251
1584,1,4,9,7.035222
1584,1,5,11,6.786715
1584,1,6,9,7.037419
1584,1,7,11,6.802109
1584,1,8,9,7.040082
1584,1,9,11,6.784471
1584,1,10,9,7.04394
1584,1,11,11,6.798331
1584,1,12,9,7.049027
1584,1,13,11,6.801106
1584,1,14,9,7.055377
1584,1,15,12,7.1493
1584,1,16,9,7.063017
1584,1,17,12,7.133217
1584,1,18,9,7.124814
1584,1,19,12,7.119315
1584,1,20,9,7.133615
1584,1,21,12,7.106002
1584,1,22,9,7.143775
1584,1,23,11,6.713654
1584,1,24,12,7.121236
1584,1,25,11,6.672326
1584,1,26,12,7.096845
1584,1,27,11,6.624336
1584,1,28,12,7.065885
1584,1,29,11,6.616966
1584,1,30,12,7.056965
1584,1,31,12,7.133235
1584,1,32,11,6.885944
1584,1,33,12,7.07398
1584,1,34,11,6.606354
1584,1,35,12,7.034817
1584,1,36,11,6.603193
1584,1,37,12,7.024651
1584,1,38,11,6.605407
1584,1,39,12,7.022649
1584,1,40,12,7.095132
1584,1,41,11,6.808363
1584,1,42,12,7.037182
1584,1,43,11,6.60341
1584,1,44,10,6.886484
1584,1,45,11,6.608602
1584,1,46,10,6.93394
1584,1,47,11,6.614318
1584,1,48,10,6.969857
1584,1,49,11,6.616432
1584,1,50,11,6.786122
1584,1,51,10,6.901542
1584,1,52,11,6.640383
1584,1,53,10,6.906659
1584,1,54,11,6.635616
1584,1,55,10,6.915338
1584,1,56,11,6.642373
1584,1,57,10,6.925462
1584,1,58,11,6.65198
1584,1,59,10,6.935525
1584,1,60,11,6.756594
1584,2,1,11,6.786246
1584,2,2,9,6.977774
1584,2,3,11,6.769351
1584,2,4,9,7.043553
1584,2,5,11,6.782537
1584,2,6,9,7.044867
1584,2,7,11,6.797659
1584,2,8,9,7.047347
1584,2,9,12,7.151459
1584,2,10,9,7.051022
1584,2,11,11,6.72048
1584,2,12,12,7.16046
1584,2,13,11,6.6991
1584,2,14,12,7.136307
1584,2,15,9,7.019562
1584,2,16,12,7.124438
1584,2,17,9,7.075693
1584,2,18,12,7.120263
1584,2,19,9,7.137861
1584,2,20,12,7.116846
1584,2,21,12,7.145952
1584,2,22,11,6.711634
1584,2,23,12,7.119468
1584,2,24,11,6.671404
1584,2,25,12,7.079308
1584,2,26,11,6.624034
1584,2,27,12,7.065348
1584,2,28,11,6.621494
1584,2,29,11,6.676773
1584,2,30,12,7.070706
1584,2,31,11,6.614551
1584,2,32,12,7.050246
1584,2,33,11,6.606047
1584,2,34,12,7.034026
1584,2,35,11,6.603364
1584,2,36,12,7.024569
1584,2,37,11,6.606311
1584,2,38,12,7.023644
1584,2,39,11,6.614333
1584,2,40,11,6.839241
1584,2,41,11,6.62401
1584,2,42,12,7.025652
1584,2,43,11,6.620005
1584,2,44,11,6.804761
1584,2,45,11,6.617399
1584,2,46,10,6.939144
1584,2,47,11,6.615314
1584,2,48,10,6.976389
1584,2,49,11,6.611999
1584,2,50,10,6.972056
1584,2,51,11,6.611889
1584,2,52,10,6.967656
1584,2,53,11,6.611919
1584,2,54,10,6.965001
1584,2,55,11,6.612598
1584,2,56,10,6.964808
1584,2,57,11,6.611043
1584,2,58,10,6.924984
1584,2,59,10,7.002591
1584,2,60,11,6.613942
1584,3,1,11,6.7658
1584,3,2,9,7.025081
