NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
1584,0,1,1
1584,1,1,1
1384,0,1,1
1384,1,1,1
1184,0,1,4
1184,1,1,10
984,0,1,38
984,1,1,30
784,0,1,121
784,1,1,109
584,0,1,171
584,1,1,164
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
1584,0,1,1
1584,1,1,1
1384,0,1,1
1384,1,1,1
1184,0,1,5
1184,1,1,6
984,0,1,31
984,1,1,26
784,0,1,106
784,1,1,110
584,0,1,174
584,1,1,164
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,0,1
1584,0,1,1
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,1,1
1584,1,1,1
1384,0,1,2
1384,1,1,1
1184,0,1,4
1184,1,1,7
984,0,1,41
984,1,1,31
784,0,1,116
784,1,1,93
584,0,1,170
584,1,1,184
NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1584,0,1,1
1384,0,1,1
1184,0,1,11
984,0,1,31
784,0,1,99
